District,Age
Kanchanpur,19
Palpa,65
Dang,13
Lalitpur,24
Dang,7
Dang,9
Kanchanpur,11
Nuwakot,7
Dhanusha,4
Morang,7
Kaski,6
Bhaktapur,15
Manang,NA
Manang,NA
Dang,NA
Dang,NA
Siraha,6
Parsa,20
Kaski,16
Dhankuta,14
Tanahu,5
Parsa,15
Siraha,NA
Jhapa,13
Kanchanpur,21
Khotang,16
Kathmandu,8
Bhaktapur,13
Rolpa,16
Dang,13
Banke,17
Palpa,NA
Bardiya,NA
Bardiya,13
Saptari,28
Salyan,18
Nuwakot,15
Bara,15
Sunsari,15
Rautahat,27
Syangja,NA
Okhaldhunga,10
Okhaldhunga,10
Chitwan,17
Udayapur,15
Siraha,NA
Makwanpur,NA
Kathmandu,19
Lalitpur,7
Lalitpur,22
Kailali,15
Rautahat,30
Dang,5
Khotang,35
Sindhuli,16
Parsa,13
Sunsari,9
Gulmi,46
Dadeldhura,18
Rupandehi,14
Kailali,17
Bhaktapur,12
Taplejung,60
Parasi,38
Dhanusha,8
Dhanusha,7
Dhanusha,10
Gorkha,6
Tanahu,19
Siraha,14
Salyan,7
Kaski,19
Udayapur,13
Palpa,11
Kailali,12
Dang,8
Dhankuta,7
Mustang,11
Mustang,19
Arghakhanchi,13
Dang,14
Dang,16
Solukhumbu,50
Solukhumbu,41
Siraha,4
Morang,35
Kailali,23
Dang,12
Sarlahi,17
Palpa,45
Morang,8
Parbat,16
Siraha,24
Gorkha,5
Lalitpur,14
Dhankuta,7
Myagdi,15
Bardiya,15
Dang,12
Kaski,26
Rupandehi,30
Sunsari,13
Gulmi,4
Syangja,4
Rolpa,6
Tanahu,20
Rupandehi,4
Sankhuwasabha,51
Kailali,63
Siraha,12
Kapilvastu,13
Bara,14
Parasi,15
Rupandehi,12
Surkhet,12
Kailali,17
Achham,NA
Bajhang,16
Jumla,18
Rupandehi,14
Mustang,32
Kapilvastu,23
Kailali,18
Bardiya,26
Bardiya,17
Dang,18
Myagdi,15
Bara,15
Kanchanpur,10
Mahottari,14
Udayapur,12
Parbat,14
Okhaldhunga,22
Lamjung,14
Rupandehi,6
Rautahat,15
Udayapur,14
Dailekh,6
Humla,13
Nawalpur,16
Kailali,17
Dhanusha,22
Myagdi,15
Sunsari,10
Dang,6
Bhaktapur,13
Bhojpur,34
Kapilvastu,9
Lalitpur,32
Surkhet,16
Dang,17
Ramechhap,12
Surkhet,16
Bajura,25
Dhankuta,23
Makwanpur,32
Kaski,8
Parbat,38
Kathmandu,9
Dang,14
Kavrepalanchok,NA
Parasi,15
Sunsari,7
Banke,18
Ramechhap,14
Dadeldhura,13
Sankhuwasabha,62
Bhojpur,15
Siraha,17
Sindhupalchok,9
Dhanusha,16
Salyan,37
Parsa,24
Dang,6
Doti,3
Rautahat,14
Lalitpur,19
Parasi,15
Rupandehi,23
Kathmandu,38
Bajhang,17
Lamjung,17
Dang,35
Udayapur,59
Sarlahi,19
Sunsari,24
Sunsari,30
Kailali,36
Salyan,24
Rupandehi,21
Saptari,16
Bhaktapur,27
Lamjung,8
Sindhupalchok,8
Palpa,13
Lalitpur,30
Kaski,1
Udayapur,51
Sindhuli,14
Sindhuli,16
Sindhuli,17
Tanahu,44
Bhojpur,13
Sarlahi,28
Nawalpur,25
Palpa,30
Kathmandu,18
Dhanusha,6
Tanahu,43
Tanahu,39
Dang,NA
Dang,NA
Sindhupalchok,16
Solukhumbu,5
Rupandehi,8
Parsa,16
Saptari,22
Sarlahi,20
Morang,10
Dang,19
Udayapur,20
DolaKha,6
Rukum West,14
Kalikot,15
Nawalpur,NA
Kalikot,21
Kanchanpur,4
Sunsari,NA
Rukum West,32
Rukum West,19
Jhapa,7
Udayapur,29
Ramechhap,63
Siraha,25
Palpa,13
Terhathum,47
Kathmandu,16
Dhankuta,27
Siraha,4
Dhanusha,15
Terhathum,14
Kathmandu,19
Myagdi,NA
Dailekh,17
Dhanusha,4
Rukum East,16
Gulmi,31
Siraha,17
Parsa,38
Parsa,20
Udayapur,17
Rupandehi,13
Chitwan,11
Siraha,15
Myagdi,7
Nawalpur,17
Gulmi,17
Gulmi,31
Gulmi,13
Dailekh,NA
Mahottari,35
Terhathum,21
Dhanusha,3
Bhaktapur,20
Terhathum,19
Rupandehi,29
Parasi,37
Parbat,13
Terhathum,30
Myagdi,26
Morang,4
Bhojpur,15
Ramechhap,8
Ramechhap,NA
Bara,22
Ramechhap,29
Dailekh,17
Parsa,15
Dang,18
Parsa,17
Parsa,14
Humla,15
Terhathum,15
Palpa,18
Jhapa,NA
Bhojpur,7
Ramechhap,NA
Ramechhap,NA
Kathmandu,32
Dhanusha,40
Jhapa,14
Kathmandu,20
Bardiya,12
Bara,40
Bara,9
Sindhupalchok,16
Khotang,16
Morang,17
Saptari,16
Rupandehi,22
Rupandehi,19
Palpa,17
Parsa,15
Dailekh,19
Dailekh,18
Rautahat,30
Nuwakot,12
Jhapa,5
Kailali,4
Kathmandu,NA
Bardiya,13
Mahottari,7
Sankhuwasabha,32
Terhathum,7
Khotang,NA
Surkhet,24
Udayapur,15
Bara,16
Lamjung,16
Tanahu,26
Dhanusha,32
Rupandehi,12
Rupandehi,19
Tanahu,26
Kathmandu,14
Rupandehi,12
Dhanusha,5
Lalitpur,15
Kathmandu,NA
Saptari,15
Darchula,17
Khotang,8
Bara,35
Kapilvastu,7
Palpa,25
Myagdi,37
Baitadi,16
Saptari,28
Bardiya,7
Rupandehi,22
Gulmi,NA
Darchula,NA
Kapilvastu,17
Jumla,7
Sindhupalchok,21
Lalitpur,11
Sankhuwasabha,9
Mugu,31
Kailali,14
Baglung,30
Kathmandu,20
Kathmandu,NA
Lamjung,6
Jajarkot,51
Lalitpur,7
Banke,16
Darchula,NA
Dailekh,21
Kapilvastu,7
Rupandehi,23
Lamjung,16
Jumla,37
Jhapa,11
Chitwan,27
Surkhet,7
Palpa,14
Terhathum,24
Palpa,18
Bardiya,21
Bara,14
Lalitpur,15
Rupandehi,39
Baglung,NA
Jhapa,13
Ilam,NA
Kathmandu,24
Mustang,16
Kathmandu,24
Bara,16
Gulmi,24
Mahottari,16
Nuwakot,22
Okhaldhunga,12
Rukum West,NA
Rupandehi,13
Rupandehi,14
Myagdi,16
Kailali,16
Dhankuta,9
Dang,NA
Bajhang,12
Makwanpur,27
Palpa,NA
Tanahu,13
Bajhang,18
Bara,4
Taplejung,36
Taplejung,14
Solukhumbu,22
Udayapur,14
Doti,14
Saptari,17
Sindhupalchok,7
Jajarkot,16
Khotang,5
Morang,19
Gulmi,19
Ramechhap,13
Parsa,10
Bhaktapur,21
Saptari,35
Dhading,5
Kaski,15
Mustang,16
Bardiya,15
Sindhupalchok,19
Sindhupalchok,10
Palpa,54
Kirtipur,NA
Khotang,5
Sindhupalchok,26
Rautahat,6
Lalitpur,24
Sunsari,13
Salyan,14
Chitwan,27
Bhojpur,17
Terhathum,23
Rupandehi,NA
Kathmandu,17
Bhojpur,16
Kapilvastu,6
Nuwakot,10
Baitadi,20
Kapilvastu,55
Sindhupalchok,12
Palpa,3
Bardiya,6
Kaski,13
Banke,16
Kapilvastu,15
Rupandehi,4
Makwanpur,NA
Rupandehi,13
Siraha,21
Parsa,4
Dang,3
Dang,5
Morang,50
Morang,19
Kathmandu,18
Jhapa,12
Jhapa,15
Kanchanpur,5
Terhathum,13
Tanahu,16
Palpa,5
Kapilvastu,46
Siraha,15
Rupandehi,19
Sunsari,NA
Banke,NA
Nawalpur,6
Humla,16
Dang,8
Ilam,2
Morang,24
Siraha,10
Dhanusha,14
Gulmi,40
Gulmi,32
Palpa,60
Rupandehi,11
Dhanusha,24
Dang,NA
Rupandehi,13
Rupandehi,19
Gulmi,23
Sankhuwasabha,19
Siraha,19
Dang,19
Bhaktapur,25
Myagdi,13
Chitwan,15
Salyan,8
Nawalpur,30
Kapilvastu,29
Kapilvastu,13
Jumla,13
Humla,14
Kapilvastu,30
Nuwakot,26
Kailali,8
Mahottari,20
Myagdi,7
Lalitpur,30
Ramechhap,NA
Okhaldhunga,19
Kalikot,11
Lamjung,15
Jhapa,6
Panchthar,NA
Siraha,38
Kathmandu,17
Sarlahi,34
Kathmandu,14
Kailali,19
Salyan,13
Salyan,14
Baitadi,NA
Taplejung,7
Baitadi,NA
Rupandehi,4
Dang,17
Salyan,14
Salyan,17
Jhapa,16
Kaski,26
Lamjung,15
Panchthar,22
Jhapa,18
Parsa,26
Morang,18
Morang,35
Taplejung,63
Kailali,12
Parsa,15
Bhaktapur,19
Gorkha,14
Siraha,25
Lalitpur,29
Rupandehi,8
Terhathum,24
Jhapa,35
Sarlahi,14
Dolakha,23
Banke,22
Parsa,NA
Morang,7
Bhaktapur,19
Rautahat,13
Rupandehi,13
Mahottari,19
Chitwan,17
Udayapur,7
Bhaktapur,11
Dang,11
Dailekh,23
Rupandehi,16
Dhanusha,35
Salyan,11
Kapilvastu,34
Parsa,15
Sindhupalchok,10
Morang,6
Dhading,15
Salyan,18
Kailali,21
Bhaktapur,14
Kathmandu,16
Rupandehi,18
Tanahu,10
Dang,44
Kapilvastu,28
Kathmandu,14
Bhaktapur,7
Lalitpur,NA
Lalitpur,10
Lalitpur,11
Bhaktapur,27
Bhaktapur,7
Dang,13
Dang,14
Rupandehi,11
Okhaldhunga,25
Dolpa,14
Udayapur,23
Kailali,13
Dolpa,14
Terhathum,16
Nuwakot,54
Gulmi,17
Kanchanpur,17
Baglung,17
Baglung,15
Baglung,15
Terhathum,14
Kanchanpur,22
Bardiya,15
Bhaktapur,15
Terhathum,14
Morang,14
Bhojpur,26
Kanchanpur,10
Udayapur,20
Gorkha,20
Palpa,14
Rupandehi,35
Rautahat,14
Rupandehi,17
Siraha,14
Solukhumbu,6
Udayapur,29
Sindhupalchok,25
Bara,NA
Terhathum,16
Dang,33
Sankhuwasabha,13
Morang,14
Sarlahi,15
Khotang,20
Syangja,19
Lalitpur,15
Tanahu,73
Dhankuta,22
Rupandehi,15
Udayapur,20
Bhaktapur,11
Lalitpur,17
Dailekh,19
Panchthar,18
Rupandehi,20
Baitadi,21
Sunsari,6
Solukhumbu,15
Rupandehi,9
Nawalpur,29
Jhapa,15
Saptari,14
Morang,23
Rupandehi,17
Rupandehi,14
Dang,33
Baglung,17
Morang,NA
Jumla,17
Sarlahi,28
Dang,13
Siraha,18
Rautahat,15
Banke,13
Baglung,16
Baglung,17
Siraha,14
Sunsari,16
Terhathum,14
Kanchanpur,14
Bhaktapur,20
Rupandehi,16
Gorkha,11
Sarlahi,32
Bhaktapur,14
Bhojpur,16
Saptari,45
Siraha,21
Rupandehi,16
Morang,25
Ramechhap,14
Rautahat,18
Dhankuta,14
Sankhuwasabha,17
Kailali,20
Darchula,45
Tanahu,24
Palpa,13
Siraha,13
Bhojpur,10
Bhaktapur,17
Kalikot,19
parsa,17
Sarlahi,17
Bhaktapur,22
Palpa,46
Kailali,13
Terhathum,17
Sarlahi,17
Banke,13
Parasi,29
Darchula,19
Sindhupalchok,13
Nawalpur,14
Sankhuwasabha,13
Dhanusha,12
Pyuthan,25
Rupandehi,15
Siraha,25
Dhading,47
Palpa,61
Sarlahi,16
Solukhumbu,10
Sindhupalchok,60
Kathmandu,NA
Sindhupalchok,33
Dang,16
Mahottari,13
Saptari,16
Dhading,18
Dang,32
Jhapa,20
sarlahi,17
Makwanpur,30
Nuwakot,26
Rupandehi,15
Dang,18
Jhapa,16
Nuwakot,15
Jhapa,15
Sunsari,14
Morang,4
Morang,3
Dolakha,64
Dang,9
Dolakha,30
Siraha,15
Udayapur,14
sarlahi,32
Dang,24
Dang,19
Kanchanpur,17
Dang,13
Lalitpur,6
Dang,20
Siraha,17
Sindhupalchok,54
Udayapur,13
Udayapur,16
Dailekh,15
Dhading,20
Rupandehi,6
Bhojpur,16
Dolakha,17
Rukum West,27
Dhanusha,26
Bardiya,24
Bardiya,19
Morang,12
Siraha,34
Dang,12
Dang,14
Gorkha,13
Nawalpur,28
Kathmandu,22
Parsa,15
Jhapa,22
parsa,22
Udayapur,4
Mahottari,21
Baglung,16
Nawalpur,22
Saptari,17
Kathmandu,15
Sarlahi,18
Sarlahi,18
Kathmandu,16
Kaski,14
Udayapur,NA
Saptari,30
Sarlahi,33
Rupandehi,34
Morang,14
Baglung,NA
Mustang,16
Parsa,14
Terhathum,22
Morang,NA
Dolakha,NA
Gorkha,NA
Udayapur,6
Rupandehi,12
Humla,8
Ilam,NA
Sankhuwasabha,NA
Lalitpur,16
Baglung,15
Rupandehi,11
Jhapa,17
Baglung,20
Sankhuwasabha,23
Saptari,17
Bardiya,14
Nawalpur,3
Jhapa,12
Rolpa,18
Gorkha,NA
Dolakha,19
Surkhet,16
Lalitpur,NA
Kathmandu,NA
Sindhuli,15
Kanchanpur,12
Pyuthan,31
Khotang,NA
Jajarkot,13
Gorkha,NA
