District,Age
Jhapa,48
Chitwan,13
Siraha,45
Siraha,55
Jhapa,15
Palpa,5
Kapilvastu,35
Nuwakot,47
Kanchanpur,4
Parsa,14
Saptari,13
Sunsari,10
Dang,8
Bara,12
Kathmandu,6
Tanahu,6
Bajura,14
Rautahat,9
Khotang,17
Bajhang,14
Bajhang,20
Taplejung,7
Lamjung,12
Lamjung,10
Saptari,15
Kanchanpur,14
Saptari,11
Bardiya,62
Chitwan,7
Chitwan,NA
Kapilvastu,23
Parsa,12
Sindhupalchok,16
Kathmandu,17
Saptari,18
Ilam,13
Bara,17
Jhapa,11
Khotang,7
Dailekh,15
Kavrepalanchok,7
Dolakha,6
Kavrepalanchok,21
Kathmandu,16
Rautahat,13
Banke,25
Khotang,16
Dang,9
Udayapur,15
Banke,14
Kanchanpur,NA
Banke,22
Rautahat,NA
Banke,27
Dang,20
Morang,10
Chitwan,14
Panchthar,47
Kathmandu,23
Sarlahi,10
Sindhupalchok,25
Sunsari,19
Kapilvastu,16
Gorkha,13
Udayapur,37
Mahottari,4
Dang,NA
Kathmandu,16
Lalitpur,13
Udayapur,11
Udayapur,13
Kailali,14
Rautahat,1
Tanahu,9
Kathmandu,29
Rupandehi,14
Kavrepalanchok,NA
Jhapa,32
Dang,11
Bhojpur,NA
Dang,NA
Kavrepalanchok,NA
Jumla,15
Kathmandu,15
Dang,13
Jajarkot,14
Kanchanpur,17
Bardiya,19
Sindhupalchok,15
Saptari,NA
Udayapur,NA
Sunsari,NA
Baitadi,38
Sindhuli,17
Khotang,17
Siraha,15
Bhojpur,10
Morang,7
Kapilvastu,12
Taplejung,9
Sunsari,6
Bardiya,7
Chitwan,6
Rukum,14
Lamjung,4
Kailali,15
Kavrepalanchok,5
Solukhumbu,25
Rupandehi,17
Bara,20
Baglung,18
Kailali,3
Taplejung,6
Mahottari,NA
Tanahu,9
Darchula,20
Parasi,15
Kapilvastu,11
Lalitpur,8
Jhapa,15
Banke,19
Kathmandu,18
Lalitpur,20
Ramechhap,20
Kathmandu,15
Taplejung,24
Chitwan,14
Kaski,7
Lalitpur,7
Kathmandu,NA
Banke,12
Gorkha,5
Kathmandu,NA
Parsa,14
Bhojpur,12
Rupandehi,8
