,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
2335,opportunist,assault,victim,physical injury,16/05/2023,rukum,nepalmonitor.org
2336,opportunist,attempt,victim,physical injury,18/05/2023,dhanusa,nepalmonitor.org
2337,gang,assault,police,physical injury,21/05/2023,bardiya,nepalmonitor.org
2338,gang,assault,police,physical injury,21/05/2023,bardiya,nepalmonitor.org
2339,minor,assault,police,physical injury,23/05/2023,morang,nepalmonitor.org
2340,opportunist,assault,police,physical injury,23/05/2023,siraha,nepalmonitor.org
2341,gang,assault,police,physical injury,28/05/2023,dang,nepalmonitor.org
2342,minor,assault,police,physical injury,3/6/2023,gorkha,nepalmonitor.org
2343,opportunist,assault,police,physical injury,5/6/2023,nawalparasi,nepalmonitor.org
2344,opportunist,assault,police,physical injury,5/6/2023,kathmandu,nepalmonitor.org
2345,minor,assault,parents,physical injury,5/6/2023,parsa,nepalmonitor.org
