,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
0,minor,molestation,parents,physical injury,25/03/2013,kathmandu,thehimalayantimes.com
1,minor,attempt,police,physical injury,3/4/2013,kathmandu,nepalpolice.gov.np
2,gang,assault,police,physical injury,1/5/2013,kathmandu,nepalpolice.gov.np
3,minor,assault,police,physical injury,7/5/2013,kathmandu,nepalpolice.gov.np
4,opportunist,assault,police,physical injury,8/5/2013,kathmandu,thehimalayantimes.com
5,opportunist,attempt,police,physical injury,16/05/2013,kathmandu,thehimalayantimes.com
6,minor,assault,police,physical injury,5/6/2013,kathmandu,nepalpolice.gov.np
7,minor,assault,police,physical injury,19/06/2013,kathmandu,nepalpolice.gov.np
8,minor,assault,police,physical injury,21/06/2013,kathmandu,nepalpolice.gov.np
9,opportunist,assault,police,physical injury,27/06/2013,kathmandu,thehimalayantimes.com
10,minor,assault,police,physical injury,9/7/2013,kathmandu,nepalpolice.gov.np
11,minor,attempt,victim,physical injury,17/07/2013,kathmandu,thehimalayantimes.com
12,opportunist,assault,police,physical injury,7/8/2013,kathmandu,thehimalayantimes.com
13,minor,assault,police,physical injury,15/08/2013,kathmandu,thehimalayantimes.com
14,minor,attempt,police,physical injury,4/9/2013,kathmandu,nepalpolice.gov.np
15,minor,assault,police,physical injury,17/11/2013,kathmandu,nepalpolice.gov.np
16,minor,assault,police,physical injury,4/1/2014,siraha,nepalpolice.gov.np
17,minor,assault,police,physical injury,9/1/2014,jhapa,nepalpolice.gov.np
18,opportunist,assault,police,physical injury,12/1/2014,jhapa,nepalpolice.gov.np
19,opportunist,assault,police,physical injury,20/01/2014,jhapa,nepalpolice.gov.np
20,opportunist,assault,police,physical injury,20/01/2014,rautahat,thehimalayantimes.com
21,opportunist,assault,police,physical injury,21/01/2014,mahottari,thehimalayantimes.com
22,minor,assault,police,physical injury,24/01/2014,sunsari,nepalpolice.gov.np
23,minor,assault,parents,physical injury,25/01/2014,kathmandu,nepalpolice.gov.np
24,minor,assault,police,physical injury,21/02/2014,rupandehi,nepalpolice.gov.np
25,opportunist,assault,police,mentally ill,2/3/2014,morang,nepalpolice.gov.np
26,minor,assault,police,physical injury,8/3/2014,sindhupalchowk,nepalpolice.gov.np
27,minor,assault,police,physical injury,10/3/2014,jhapa,thehimalayantimes.com
28,opportunist,assault,police,physical injury,13/03/2014,khotang,thehimalayantimes.com
29,opportunist,assault,police,physical injury,15/03/2014,rukum,nepalpolice.gov.np
30,opportunist,assault,police,physical injury,16/03/2014,palpa,nepalpolice.gov.np
31,minor,assault,police,physical injury,19/03/2014,lamjung,nepalpolice.gov.np
32,gang,assault,police,physical injury,20/03/2014,kathmandu,nepalpolice.gov.np
33,minor,assault,police,physical injury,21/03/2014,gulmi,nepalpolice.gov.np
34,minor,assault,police,physical injury,27/03/2014,morang,nepalpolice.gov.np
35,gang,assault,family,physical injury,27/03/2014,kavre,thehimalayantimes.com
36,gang,assault,police,physical injury,27/03/2014,kavre,thehimalayantimes.com
37,minor,assault,police,physical injury,29/03/2014,kaski,nepalpolice.gov.np
38,minor,assault,police,physical injury,2/4/2014,morang,nepalpolice.gov.np
39,opportunist,attempt,police,physical injury,7/4/2014,banke,nepalpolice.gov.np
40,opportunist,assault,police,physical injury,9/4/2014,gulmi,nepalpolice.gov.np
41,gang,assault,police,murder,10/4/2014,kavre,thehimalayantimes.com
42,opportunist,attempt,parents,physical injury,10/4/2014,bara,thehimalayantimes.com
43,gang,molestation,police,physical injury,21/04/2014,bhaktapur,nepalpolice.gov.np
44,opportunist,assault,police,physical injury,24/04/2014,pyuthan,thehimalayantimes.com
45,gang,assault,police,physical injury,25/04/2014,rautahat,myrepublica.com
46,opportunist,attempt,police,physical injury,5/5/2014,kathmandu,nepalpolice.gov.np
47,minor,attempt,neighbours,physical injury,7/5/2014,kavre,thehimalayantimes.com
48,minor,assault,police,physical injury,8/5/2014,sarlahi,nepalpolice.gov.np
49,gang,assault,police,physical injury,14/05/2014,bara,nepalpolice.gov.np
50,minor,assault,police,physical injury,15/05/2014,bhojpur,thehimalayantimes.com
51,minor,attempt,police,physical injury,15/05/2014,kavre,thehimalayantimes.com
52,opportunist,attempt,victim,physical injury,19/05/2014,khotang,thehimalayantimes.com
53,minor,assault,police,physical injury,20/05/2014,khotang,thehimalayantimes.com
54,minor,assault,police,physical injury,22/05/2014,kaski,thehimalayantimes.com
55,gang,assault,police,physical injury,23/05/2014,morang,nepalpolice.gov.np
56,minor,assault,parents,physical injury,23/05/2014,sunsari,nepalpolice.gov.np
57,opportunist,assault,neighbours,physical injury,26/05/2014,terhathum,myrepublica.com
58,gang,assault,victim,physical injury,29/05/2014,jhapa,ekantipur.com
59,gang,assault,police,physical injury,30/05/2014,sarlahi,nepalpolice.gov.np
60,opportunist,assault,police,physical injury,26/06/2014,rautahat,nepalpolice.gov.np
61,gang,assault,police,physical injury,8/7/2014,dang,nepalpolice.gov.np
62,opportunist,assault,police,physical injury,10/7/2014,syangja,nepalpolice.gov.np
63,minor,assault,police,physical injury,13/07/2014,kailali,myrepublica.com
64,gang,assault,police,physical injury,16/07/2014,kanchanpur,nepalpolice.gov.np
65,gang,assault,police,physical injury,17/07/2014,kanchanpur,nepalpolice.gov.np
66,minor,assault,police,physical injury,21/07/2014,gorkha,myrepublica.com
67,minor,assault,parents,physical injury,22/07/2014,kathmandu,nepalpolice.gov.np
68,minor,assault,parents,physical injury,27/07/2014,dadeldhura,thehimalayantimes.com
69,opportunist,attempt,police,physical injury,27/07/2014,jhapa,nepalpolice.gov.np
70,minor,assault,police,physical injury,4/8/2014,dhanusa,nepalpolice.gov.np
71,minor,attempt,police,physical injury,4/8/2014,sunsari,nepalpolice.gov.np
72,gang,assault,police,physical injury,6/8/2014,banke,ekantipur.com
73,opportunist,attempt,police,physical injury,6/8/2014,kavre,nepalpolice.gov.np
74,minor,assault,police,physical injury,7/8/2014,morang,nepalpolice.gov.np
75,minor,assault,victim,pregnant,11/8/2014,kanchanpur,thehimalayantimes.com
76,opportunist,assault,police,physical injury,11/8/2014,dang,nepalpolice.gov.np
77,minor,assault,police,physical injury,17/08/2014,panchthar,myrepublica.com
78,opportunist,assault,victim,physical injury,23/08/2014,bhaktapur,nepalpolice.gov.np
79,minor,assault,police,physical injury,25/08/2014,morang,nepalpolice.gov.np
80,minor,assault,police,physical injury,28/08/2014,kailali,nepalpolice.gov.np
81,opportunist,assault,victim,physical injury,31/08/2014,jhapa,thehimalayantimes.com
82,minor,assault,police,physical injury,1/9/2014,rupandehi,nepalpolice.gov.np
83,minor,attempt,victim,physical injury,4/9/2014,sindhuli,thehimalayantimes.com
84,minor,assault,police,physical injury,4/9/2014,terhathum,nepalpolice.gov.np
85,minor,assault,police,physical injury,6/9/2014,kathmandu,nepalpolice.gov.np
86,minor,assault,police,physical injury,9/9/2014,tanahu,thehimalayantimes.com
87,opportunist,assault,police,physical injury,13/09/2014,sunsari,myrepublica.com
88,opportunist,attempt,victim,physical injury,13/09/2014,tanahu,thehimalayantimes.com
89,minor,assault,police,physical injury,16/09/2014,khotang,thehimalayantimes.com
90,gang,assault,police,physical injury,19/09/2014,gulmi,nepalpolice.gov.np
91,opportunist,assault,police,physical injury,20/09/2014,udayapur,nepalpolice.gov.np
92,opportunist,assault,police,physical injury,21/09/2014,makwanpur,nepalpolice.gov.np
93,opportunist,assault,police,physical injury,24/09/2014,illam,myrepublica.com
94,gang,assault,police,physical injury,1/10/2014,dang,nepalpolice.gov.np
95,minor,assault,relative,physical injury,3/10/2014,rautahat,myrepublica.com
96,gang,assault,police,physical injury,7/10/2014,siraha,myrepublica.com
97,gang,assault,police,physical injury,8/10/2014,siraha,myrepublica.com
98,opportunist,assault,police,physical injury,8/10/2014,rukum,thehimalayantimes.com
99,opportunist,assault,police,physical injury,8/10/2014,rasuwa,nepalpolice.gov.np
100,opportunist,assault,police,physical injury,9/10/2014,jhapa,nepalpolice.gov.np
101,minor,assault,police,physical injury,12/10/2014,morang,nepalpolice.gov.np
102,minor,assault,police,physical injury,12/10/2014,kapilvastu,nepalpolice.gov.np
103,opportunist,assault,police,physical injury,13/10/2014,banke,nepalpolice.gov.np
104,minor,abuse,police,physical injury,16/10/2014,jhapa,nepalnews.com
105,minor,assault,parents,physical injury,19/10/2014,morang,nepalpolice.gov.np
106,minor,assault,police,physical injury,19/10/2014,kathmandu,nepalpolice.gov.np
107,opportunist,assault,police,physical injury,24/10/2014,baglung,myrepublica.com
108,minor,assault,police,physical injury,26/10/2014,makwanpur,thehimalayantimes.com
109,opportunist,assault,police,physical injury,27/10/2014,jhapa,thehimalayantimes.com
110,gang,assault,police,physical injury,27/10/2014,bardiya,thehimalayantimes.com
111,opportunist,attempt,police,physical injury,27/10/2014,khotang,thehimalayantimes.com
112,minor,assault,parents,physical injury,29/10/2014,morang,myrepublica.com
113,gang,assault,police,physical injury,30/10/2014,khotang,nepalpolice.gov.np
114,opportunist,assault,police,physical injury,4/11/2014,tanahu,thehimalayantimes.com
115,gang,assault,police,physical injury,2/12/2014,bara,myrepublica.com
116,gang,assault,police,physical injury,6/12/2014,rupandehi,nepalpolice.gov.np
117,opportunist,assault,police,physical injury,10/12/2014,dang,nepalpolice.gov.np
118,gang,assault,police,physical injury,13/12/2014,sindhupalchowk,myrepublica.com
119,opportunist,assault,police,physical injury,14/12/2014,kapilvastu,nepalpolice.gov.np
120,opportunist,attempt,police,physical injury,17/12/2014,morang,nepalpolice.gov.np
121,opportunist,assault,police,physical injury,17/12/2014,baglung,nepalpolice.gov.np
122,minor,assault,police,physical injury,3/1/2015,lalitpur,nepalpolice.gov.np
123,opportunist,assault,police,physical injury,4/1/2015,udayapur,thehimalayantimes.com
124,opportunist,assault,police,physical injury,6/1/2015,dailekh,nepalpolice.gov.np
125,minor,assault,police,physical injury,6/1/2015,jhapa,nepalpolice.gov.np
126,minor,assault,police,physical injury,8/1/2015,myagdi,nepalpolice.gov.np
127,minor,assault,parents,physical injury,14/01/2015,gorkha,myrepublica.com
128,minor,assault,police,physical injury,27/01/2015,kathmandu,thehimalayantimes.com
129,opportunist,assault,police,physical injury,28/01/2015,udayapur,thehimalayantimes.com
130,minor,assault,police,physical injury,5/2/2015,udayapur,nepalpolice.gov.np
131,minor,assault,police,physical injury,12/2/2015,kapilvastu,nepalpolice.gov.np
132,gang,assault,police,physical injury,15/02/2015,kanchanpur,myrepublica.com
133,minor,assault,family,physical injury,19/02/2015,kavre,thehimalayantimes.com
134,minor,assault,family,physical injury,20/02/2015,bara,myrepublica.com
135,opportunist,assault,family,physical injury,26/02/2015,jhapa,thehimalayantimes.com
136,opportunist,assault,police,physical injury,26/02/2015,jhapa,thehimalayantimes.com
137,minor,assault,police,physical injury,13/03/2015,terhathum,myrepublica.com
138,minor,assault,parents,physical injury,14/04/2015,jhapa,thehimalayantimes.com
139,minor,assault,police,physical injury,16/04/2015,jhapa,nepalpolice.gov.np
140,minor,assault,police,physical injury,21/04/2015,jhapa,nepalpolice.gov.np
141,minor,assault,police,physical injury,12/5/2015,tanahu,thehimalayantimes.com
142,opportunist,attempt,police,physical injury,14/06/2015,panchthar,thehimalayantimes.com
143,minor,assault,police,physical injury,16/06/2015,kapilvastu,nepalpolice.gov.np
144,opportunist,assault,police,physical injury,16/06/2015,arghakhanchi,nepalpolice.gov.np
145,minor,assault,police,physical injury,17/06/2015,siraha,nepalpolice.gov.np
146,gang,assault,police,physical injury,23/06/2015,rautahat,myrepublica.com
147,minor,assault,police,physical injury,29/06/2015,mahottari,nepalnews.com
148,minor,assault,police,physical injury,2/8/2015,dhanusa,nepalpolice.gov.np
149,minor,assault,police,physical injury,2/8/2015,rautahat,myrepublica.com
150,minor,assault,police,physical injury,3/8/2015,taplejung,nepalpolice.gov.np
151,gang,assault,police,physical injury,9/8/2015,kapilvastu,nepalpolice.gov.np
152,opportunist,assault,police,physical injury,13/08/2015,rautahat,nepalpolice.gov.np
153,minor,attempt,police,physical injury,15/08/2015,sarlahi,nepalpolice.gov.np
154,opportunist,assault,police,physical injury,15/08/2015,sarlahi,nepalpolice.gov.np
155,opportunist,assault,police,physical injury,17/08/2015,dolakha,nepalpolice.gov.np
156,opportunist,assault,police,pregnant,21/08/2015,tanahu,thehimalayantimes.com
157,opportunist,assault,police,physical injury,22/08/2015,morang,nepalpolice.gov.np
158,opportunist,assault,police,physical injury,23/08/2015,rautahat,thehimalayantimes.com
159,minor,assault,police,physical injury,24/08/2015,sunsari,thehimalayantimes.com
160,opportunist,assault,police,physical injury,28/08/2015,pyuthan,nepalpolice.gov.np
161,minor,assault,police,physical injury,31/08/2015,kaski,thehimalayantimes.com
162,minor,assault,police,physical injury,2/9/2015,morang,nepalpolice.gov.np
163,opportunist,assault,police,physical injury,5/9/2015,bhojpur,nepalpolice.gov.np
164,gang,assault,police,physical injury,14/09/2015,lalitpur,thehimalayantimes.com
165,opportunist,assault,police,physical injury,16/09/2015,lalitpur,nepalpolice.gov.np
166,opportunist,assault,police,physical injury,22/09/2015,khotang,thehimalayantimes.com
167,opportunist,assault,police,physical injury,23/09/2015,panchthar,thehimalayantimes.com
168,opportunist,assault,police,physical injury,26/09/2015,panchthar,thehimalayantimes.com
169,minor,assault,police,physical injury,29/09/2015,kathmandu,nepalmonitor.org
170,opportunist,assault,police,physical injury,30/09/2015,sindhupalchowk,nepalmonitor.org
171,gang,assault,police,physical injury,5/10/2015,nawalparasi,nepalmonitor.org
172,minor,assault,parents,physical injury,25/10/2015,kanchanpur,nepalmonitor.org
173,opportunist,assault,parents,physical injury,25/10/2015,kaski,nepalmonitor.org
174,opportunist,assault,victim,physical injury,26/10/2015,myagdi,nepalmonitor.org
175,gang,assault,victim,physical injury,26/10/2015,siraha,thehimalayantimes.com
176,minor,assault,parents,physical injury,27/10/2015,darchula,myrepublica.com
177,opportunist,assault,police,physical injury,27/10/2015,illam,thehimalayantimes.com
178,opportunist,assault,police,physical injury,27/10/2015,mahottari,myrepublica.com
179,minor,assault,police,physical injury,29/10/2015,kavre,nepalpolice.gov.np
180,opportunist,assault,police,physical injury,29/10/2015,bhaktapur,nepalpolice.gov.np
181,minor,assault,police,physical injury,1/11/2015,khotang,nepalmonitor.org
182,opportunist,assault,parents,physical injury,3/11/2015,sarlahi,nepalpolice.gov.np
183,minor,assault,victim,physical injury,7/11/2015,kaski,nepalmonitor.org
184,opportunist,assault,police,physical injury,7/11/2015,sindhupalchowk,nepalpolice.gov.np
185,opportunist,assault,police,physical injury,7/11/2015,kanchanpur,nepalpolice.gov.np
186,gang,assault,police,murder,7/11/2015,makwanpur,nepalmonitor.org
187,minor,assault,parents,physical injury,9/11/2015,dailekh,nepalmonitor.org
188,minor,assault,police,physical injury,13/11/2015,banke,nepalpolice.gov.np
189,opportunist,attempt,police,physical injury,14/11/2015,udayapur,thehimalayantimes.com
190,opportunist,assault,police,physical injury,14/11/2015,udayapur,nepalpolice.gov.np
191,minor,assault,police,physical injury,18/11/2015,sarlahi,nepalpolice.gov.np
192,minor,assault,wife,physical injury,18/11/2015,salyan,nepalpolice.gov.np
193,opportunist,assault,police,physical injury,20/11/2015,dang,nepalpolice.gov.np
194,gang,assault,police,murder,23/11/2015,surkhet,myrepublica.com
195,minor,assault,police,physical injury,23/11/2015,kapilvastu,nepalpolice.gov.np
196,opportunist,assault,parents,physical injury,26/11/2015,kaski,nepalmonitor.org
197,minor,assault,police,physical injury,27/11/2015,parsa,nepalpolice.gov.np
198,gang,assault,police,physical injury,4/12/2015,sunsari,nepalpolice.gov.np
199,minor,assault,police,physical injury,4/12/2015,bardiya,nepalpolice.gov.np
200,minor,assault,relative,physical injury,6/12/2015,gorkha,nepalmonitor.org
201,gang,assault,parents,physical injury,7/12/2015,surkhet,nepalmonitor.org
202,minor,assault,police,physical injury,11/12/2015,parbat,nepalmonitor.org
203,minor,assault,police,physical injury,30/12/2015,kanchanpur,nepalmonitor.org
204,minor,assault,police,physical injury,10/12/2015,rautahat,nepalpolice.gov.np
205,minor,assault,police,physical injury,10/12/2015,kailali,nepalpolice.gov.np
206,opportunist,assault,parents,physical injury,10/12/2015,makwanpur,nepalmonitor.org
207,opportunist,assault,parents,physical injury,11/12/2015,myagdi,nepalmonitor.org
208,minor,assault,police,physical injury,14/12/2015,illam,thehimalayantimes.com
209,minor,assault,parents,physical injury,15/12/2015,bardiya,nepalmonitor.org
210,opportunist,assault,victim,physical injury,23/12/2015,saptari,nepalmonitor.org
211,opportunist,assault,victim,physical injury,23/12/2015,taplejung,nepalmonitor.org
212,opportunist,assault,police,murder,27/12/2015,udayapur,nepalmonitor.org
213,opportunist,assault,victim,physical injury,31/12/2015,kanchanpur,nepalpolice.gov.np
214,minor,assault,parents,physical injury,1/1/2016,panchthar,thehimalayantimes.com
215,opportunist,attempt,police,physical injury,3/1/2016,kapilvastu,nepalpolice.gov.np
216,opportunist,assault,victim,physical injury,3/1/2016,kalikot,nepalmonitor.org
217,gang,assault,parents,physical injury,3/1/2016,sunsari,myrepublica.com
218,opportunist,assault,police,physical injury,4/1/2016,banke,nepalpolice.gov.np
219,minor,attempt,parents,physical injury,7/1/2016,siraha,nepalmonitor.org
220,minor,assault,police,physical injury,8/1/2016,morang,nepalpolice.gov.np
221,minor,assault,relative,physical injury,10/1/2016,kaski,nepalmonitor.org
222,minor,assault,parents,physical injury,10/1/2016,jhapa,nepalmonitor.org
223,opportunist,assault,relative,physical injury,12/1/2016,panchthar,nepalmonitor.org
224,opportunist,assault,police,physical injury,16/01/2016,kapilvastu,nepalpolice.gov.np
225,minor,assault,police,physical injury,18/01/2016,sindhupalchowk,thehimalayantimes.com
226,minor,assault,police,murder,20/01/2016,rukum,thehimalayantimes.com
227,gang,assault,victim,physical injury,20/01/2016,kaski,nepalmonitor.org
228,opportunist,assault,police,physical injury,22/01/2016,rautahat,nepalmonitor.org
229,minor,assault,victim,physical injury,22/01/2016,dang,nepalmonitor.org
230,minor,assault,police,physical injury,22/01/2016,dhanusa,nepalpolice.gov.np
231,opportunist,assault,police,physical injury,23/01/2016,gorkha,nepalmonitor.org
232,gang,attempt,police,physical injury,25/01/2016,udayapur,thehimalayantimes.com
233,minor,assault,parents,physical injury,26/01/2016,myagdi,nepalnews.com
234,minor,assault,police,physical injury,27/01/2016,gorkha,nepalpolice.gov.np
235,gang,assault,police,physical injury,1/2/2016,rautahat,thehimalayantimes.com
236,minor,assault,police,physical injury,3/2/2016,udayapur,nepalpolice.gov.np
237,minor,assault,police,physical injury,4/2/2016,dhanusa,nepalpolice.gov.np
238,minor,assault,police,physical injury,14/02/2016,morang,nepalpolice.gov.np
239,minor,assault,parents,physical injury,15/02/2016,siraha,nepalmonitor.org
240,minor,assault,parents,physical injury,15/02/2016,sarlahi,nepalmonitor.org
241,minor,assault,parents,physical injury,16/02/2016,kathmandu,thehimalayantimes.com
242,minor,assault,police,physical injury,16/02/2016,sunsari,nepalpolice.gov.np
243,opportunist,assault,police,physical injury,18/02/2016,kathmandu,nepalpolice.gov.np
244,minor,assault,police,physical injury,24/02/2016,bhaktapur,nepalmonitor.org
245,opportunist,attempt,police,physical injury,26/02/2016,bara,nepalmonitor.org
246,opportunist,assault,police,physical injury,29 Feb,bhaktapur,nepalpolice.gov.np
247,minor,assault,police,physical injury,2/3/2016,morang,nepalmonitor.org
248,minor,assault,police,physical injury,5/3/2016,syangja,nepalpolice.gov.np
249,minor,attempt,police,physical injury,8/3/2016,kathmandu,nepalpolice.gov.np
250,minor,assault,police,physical injury,14/03/2016,bardiya,nepalpolice.gov.np
251,opportunist,assault,police,physical injury,16/03/2016,bardiya,nepalpolice.gov.np
252,minor,assault,parents,physical injury,18/03/2016,taplejung,nepalmonitor.org
253,opportunist,assault,parents,physical injury,18/03/2016,makwanpur,thehimalayantimes.com
254,minor,assault,police,physical injury,19/03/2016,lamjung,nepalpolice.gov.np
255,opportunist,assault,police,physical injury,20/03/2016,gorkha,nepalpolice.gov.np
256,minor,assault,police,physical injury,23/03/2016,sindhupalchowk,nepalmonitor.org
257,minor,assault,parents,physical injury,23/03/2016,palpa,nepalmonitor.org
258,minor,assault,police,physical injury,24/03/2016,banke,nepalpolice.gov.np
259,minor,assault,police,physical injury,24/03/2016,dang,nepalpolice.gov.np
260,minor,attempt,parents,physical injury,24/03/2016,chitwan,nepalmonitor.org
261,minor,assault,police,physical injury,26/03/2016,kapilvastu,nepalpolice.gov.np
262,minor,assault,police,murder,27/03/2016,lalitpur,nepalmonitor.org
263,minor,assault,police,physical injury,28/03/2016,banke,nepalpolice.gov.np
264,minor,assault,police,physical injury,29/03/2016,siraha,nepalpolice.gov.np
265,minor,assault,police,physical injury,29/03/2016,sunsari,nepalpolice.gov.np
266,opportunist,assault,victim,physical injury,31/03/2016,bhojpur,nepalmonitor.org
267,minor,assault,police,physical injury,1/4/2016,pyuthan,nepalpolice.gov.np
268,opportunist,assault,police,physical injury,3/4/2016,banke,nepalpolice.gov.np
269,minor,attempt,parents,physical injury,3/4/2016,chitwan,nepalmonitor.org
270,opportunist,attempt,parents,physical injury,4/4/2016,kavre,nepalmonitor.org
271,gang,assault,police,physical injury,4/4/2016,dhanusa,nepalpolice.gov.np
272,gang,assault,police,physical injury,5/4/2016,mahottari,thehimalayantimes.com
273,minor,assault,parents,physical injury,5/4/2016,dang,myrepublica.com
274,minor,attempt,parents,physical injury,6/4/2016,nawalparasi,nepalmonitor.org
275,minor,assault,parents,physical injury,9/4/2016,kathmandu,nepalpolice.gov.np
276,opportunist,assault,parents,physical injury,10/4/2016,kaski,nepalmonitor.org
277,gang,assault,police,physical injury,13/04/2016,saptari,nepalpolice.gov.np
278,opportunist,assault,victim,physical injury,15/04/2016,lalitpur,nepalpolice.gov.np
279,gang,assault,police,physical injury,15/04/2016,banke,nepalpolice.gov.np
280,minor,assault,police,murder,19/04/2016,palpa,myrepublica.com
281,minor,assault,parents,physical injury,19/04/2016,lamjung,nepalmonitor.org
282,opportunist,assault,parents,physical injury,20/04/2016,baglung,nepalmonitor.org
283,minor,assault,police,physical injury,20/04/2016,pyuthan,nepalpolice.gov.np
284,opportunist,assault,police,physical injury,22/04/2016,kavre,nepalpolice.gov.np
285,minor,assault,parents,physical injury,23/04/2016,kaski,nepalmonitor.org
286,minor,assault,police,physical injury,26/04/2016,bardiya,nepalpolice.gov.np
287,opportunist,assault,victim,physical injury,26/04/2016,saptari,nepalmonitor.org
288,opportunist,assault,police,physical injury,28/04/2016,udayapur,nepalpolice.gov.np
289,minor,attempt,police,physical injury,29/04/2016,jajarkot,thehimalayantimes.com
290,minor,assault,parents,physical injury,1/5/2016,baitadi,nepalmonitor.org
291,minor,assault,police,physical injury,2/5/2016,sindhupalchowk,nepalpolice.gov.np
292,minor,assault,police,physical injury,2/5/2016,salyan,nepalmonitor.org
293,opportunist,assault,police,physical injury,8/5/2016,kaski,nepalmonitor.org
294,minor,assault,police,physical injury,9/5/2016,bajura,nepalmonitor.org
295,opportunist,assault,police,physical injury,11/5/2016,bardiya,nepalpolice.gov.np
296,minor,assault,police,physical injury,12/5/2016,dhanusa,nepalpolice.gov.np
297,opportunist,assault,police,physical injury,15/05/2016,kailali,nepalmonitor.org
298,minor,assault,parents,physical injury,15/05/2016,gulmi,nepalmonitor.org
299,minor,assault,police,physical injury,16/05/2016,nawalparasi,nepalpolice.gov.np
300,minor,attempt,parents,physical injury,17/05/2016,salyan,nepalmonitor.org
301,minor,abuse,parents,physical injury,21/05/2016,makwanpur,nepalmonitor.org
302,opportunist,attempt,police,physical injury,21/05/2016,khotang,nepalmonitor.org
303,minor,assault,police,physical injury,23/05/2016,bhaktapur,nepalpolice.gov.np
304,minor,assault,police,physical injury,24/05/2016,rautahat,nepalpolice.gov.np
305,minor,assault,police,physical injury,24/05/2016,udayapur,nepalmonitor.org
306,minor,assault,police,physical injury,25/05/2016,makwanpur,nepalmonitor.org
307,opportunist,assault,police,physical injury,25/05/2016,bhojpur,thehimalayantimes.com
308,opportunist,attempt,victim,physical injury,28/05/2016,kathmandu,nepalpolice.gov.np
309,minor,assault,police,physical injury,30/05/2016,gorkha,nepalpolice.gov.np
310,opportunist,assault,police,physical injury,30/05/2016,kavre,nepalpolice.gov.np
311,gang,assault,police,physical injury,31/05/2016,dhanusa,thehimalayantimes.com
312,gang,assault,parents,physical injury,31/05/2016,kaski,nepalmonitor.org
313,minor,assault,parents,physical injury,31/05/2016,sindhupalchowk,nepalmonitor.org
314,opportunist,assault,police,physical injury,31/05/2016,jhapa,nepalpolice.gov.np
315,opportunist,assault,parents,physical injury,2/6/2016,saptari,nepalmonitor.org
316,opportunist,assault,police,physical injury,3/6/2016,mahottari,nepalmonitor.org
317,opportunist,assault,police,physical injury,3/6/2016,sunsari,nepalmonitor.org
318,opportunist,assault,police,physical injury,5/6/2016,jhapa,nepalpolice.gov.np
319,minor,assault,relative,physical injury,6/6/2016,chitwan,nepalmonitor.org
320,opportunist,assault,police,physical injury,8/6/2016,siraha,nepalpolice.gov.np
321,opportunist,assault,police,physical injury,8/6/2016,siraha,thehimalayantimes.com
322,opportunist,assault,parents,physical injury,8/6/2016,jhapa,nepalmonitor.org
323,minor,assault,police,physical injury,10/6/2016,palpa,nepalpolice.gov.np
324,opportunist,assault,parents,physical injury,13/06/2016,kapilvastu,nepalmonitor.org
325,gang,assault,victim,physical injury,21/06/2016,nuwakot,nepalmonitor.org
326,minor,assault,police,physical injury,23/06/2016,kanchanpur,nepalpolice.gov.np
327,minor,assault,parents,pregnant,23/06/2016,parsa,nepalpolice.gov.np
328,minor,assault,police,physical injury,25/06/2016,saptari,nepalpolice.gov.np
329,minor,assault,police,physical injury,25/06/2016,sunsari,nepalpolice.gov.np
330,minor,assault,police,physical injury,28/06/2016,dang,nepalpolice.gov.np
331,minor,assault,police,physical injury,30/06/2016,bara,nepalpolice.gov.np
332,minor,assault,police,physical injury,1/7/2016,kathmandu,nepalpolice.gov.np
333,minor,assault,police,physical injury,1/7/2016,tanahu,nepalpolice.gov.np
334,minor,assault,police,physical injury,1/7/2016,bajura,nepalpolice.gov.np
335,minor,assault,police,physical injury,1/7/2016,rautahat,thehimalayantimes.com
336,opportunist,assault,police,physical injury,7/7/2016,khotang,nepalmonitor.org
337,gang,assault,police,physical injury,10/7/2016,bajhang,thehimalayantimes.com
338,gang,assault,police,physical injury,10/7/2016,bajhang,nepalmonitor.org
339,minor,assault,police,physical injury,10/7/2016,taplejung,nepalpolice.gov.np
340,gang,assault,police,physical injury,12/7/2016,lamjung,thehimalayantimes.com
341,gang,assault,police,physical injury,14/07/2016,saptari,nepalpolice.gov.np
342,minor,attempt,police,physical injury,16/07/2016,kanchanpur,thehimalayantimes.com
343,minor,assault,parents,physical injury,17/07/2016,saptari,nepalmonitor.org
344,opportunist,assault,police,physical injury,18/07/2016,bardiya,nepalpolice.gov.np
345,minor,assault,police,physical injury,21/07/2016,chitwan,nepalpolice.gov.np
346,opportunist,assault,police,physical injury,21/07/2016,chitwan,nepalpolice.gov.np
347,opportunist,attempt,police,physical injury,23/07/2016,kapilvastu,nepalpolice.gov.np
348,minor,assault,police,physical injury,24/07/2016,parsa,nepalmonitor.org
349,opportunist,assault,police,physical injury,26/07/2016,sindhupalchowk,nepalmonitor.org
350,opportunist,attempt,police,physical injury,27/07/2016,kathmandu,nepalpolice.gov.np
351,opportunist,assault,police,physical injury,27/07/2016,saptari,nepalmonitor.org
352,minor,assault,police,physical injury,28/07/2016,illam,nepalmonitor.org
353,opportunist,assault,police,physical injury,30/07/2016,jhapa,nepalpolice.gov.np
354,minor,assault,police,murder,3/8/2016,jhapa,nepalpolice.gov.np
355,minor,assault,police,physical injury,3/8/2016,khotang,myrepublica.com
356,minor,assault,police,physical injury,4/8/2016,dailekh,nepalmonitor.org
