District,Age
Palpa,65
Bara,40
Makwanpur,32
Morang,45
India,20
Saptari,21
Saptari,15
Morang,45
Dailekh,19
Gorkha,26
Siraha,32
Lamjung,19
Dang,12
Dang,13
Saptari,28
Nawalpur,38
Kailali,19
Saptari,21
Siraha,29
Salyan,22
Siraha,29
Saptari,22
Bhojpur,54
Syangja,94
Rupandehi,18
Mahottari,38
Kailali,49
Ramechhap,76
Kapilvastu,18
Dhanusha,65
Siraha,53
Dang,55
Parsa,19
Bhaktapur,20
Kapilvastu,30
Kathmandu,NA
Kanchanpur,32
Salyan,22
Sindhupalchok,40
Solukhumbu,38
Lalitpur,59
Dadeldhura,28
Dadeldhura,NA
Dadeldhura,NA
Dadeldhura,NA
Bajhang,NA
Salyan,NA
Bara,30
Morang,60
Sunsari,20
Tanahu,23
Rukum East,23
Rukum East,14
Parsa,22
Nuwakot,13
Nuwakot,14
Nuwakot,15
Nuwakot,15
Achham,40
Achham,22
Banke,55
Banke,22
Dang,42
Dailekh,30
Kailali,31
Sunsari,60
Kailali,60
Rupandehi,23
Rupandehi,22
Udayapur,22
Saptari,28
Dang,34
Jhapa,24
Jhapa,23
Morang,24
Dhankuta,32
Rupandehi,38
Sunsari,44
Morang,NA
Nawalpur,24
Nawalpur,26
Nawalpur,30
Baglung,80
Bhaktapur,24
Bhaktapur,19
Bhaktapur,31
Bhaktapur,52
Bhaktapur,47
Okhaldhunga,24
Humla,27
Saptari,NA
Nawalpur,15
Syangja,29
Syangja,42
Syangja,19
Syangja,18
Gulmi,22
Baglung,31
Bajhang,21
Kathmandu,26
Parasi,21
Jhapa,NA
Bhaktapur,30
Kapilvastu,40
Morang,25
America,NA
Dang,NA
Kanchanpur,40
Banke,32
Kailali,19
Makwanpur,28
Lalitpur,26
Lalitpur,19
Bara,45
Dolakha,NA
Saptari,22
Kavrepalanchok,40
Syangja,21
Jhapa,47
Parsa,21
Morang,50
Kapilvastu,28
Jhapa,19
Nuwakot,47
Dhanusha,45
Dhading,50
Bhaktapur,50
Kavrepalanchok,62
Sindhupalchok,46
Parasi,21
Gorkha,21
Dang,34
Ramechhap,19
Dhanusha,32
Kaski,23
Sindhupalchok,19
Achham,40
Humla,24
Humla,25
Syangja,16
Parasi,25
Parasi,28
Gorkha,26
Okhaldhunga,71
Ramechhap,56
Bhojpur,50
Sindhupalchok,34
Bhaktapur,37
Sarlahi,30
Bardiya,24
Parsa,36
Bardiya,55
Sunsari,54
Bardiya,24
Nuwakot,25
Udayapur,20
Kailali,46
Morang,55
Kathmandu,63
Bardiya,16
Kapilvastu,40
Sindhupalchok,50
Chitwan,35
Dailekh,28
Jumla,70
Bhaktapur,19
Kapilvastu,15
Rolpa,17
Kathmandu,29
Siraha,20
Lalitpur,58
Kavrepalanchok,25
Palpa,44
Palpa,43
Parsa,22
Dang,40
Bhaktapur,52
Ilam,30
Kapilvastu,26
China,21
Bardiya,79
Bhojpur,17
Mahottari,NA
Kalikot,28
Kalikot,24
Kalikot,26
Gulmi,19
Syangja,60
Rupandehi,53
Palpa,31
Kailali,NA
Sunsari,35
Udayapur,35
Sunsari,52
Sunsari,67
Bhaktapur,50
Gorkha,38
Bardiya,59
Kathmandu,20
Sunsari,67
Lamjung,25
Siraha,29
Morang,24
Rolpa,36
Rolpa,36
Baitadi,19
Baitadi,19
Parsa,22
Surkhet,35
Surkhet,24
Surkhet,29
Bhaktapur,NA
Bhaktapur,NA
Kanchanpur,24
Rupandehi,23
Tanahu,63
Dailekh,21
Sunsari,30
Lalitpur,61
Kailali,25
Kailali,25
Kailali,36
Kailali,25
Taplejung,22
Humla,10
Morang,40
Makwanpur,40
Makwanpur,54
Makwanpur,40
Makwanpur,33
Makwanpur,44
Kanchanpur,23
Kanchanpur,23
Palpa,35
Dang,28
Ramechhap,23
Dang,15
Kanchanpur,53
Nuwakot,60
Dhanusha,50
India,20
Kaski,23
Kavrepalanchok,23
Manang,43
Dang,NA
Dang,NA
Dang,NA
Siraha,27
parsa,25
India,NA
Dhankuta,25
Tanahu,53
Parsa,20
Parsa,20
Siraha,NA
Jhapa,45
Jhapa,48
Kanchanpur,40
Khotang,31
Kathmandu,35
Bhaktapur,32
Rolpa,23
Dang,19
Banke,42
Palpa,19
Bardiya,NA
Bardiya,19
Saptari,35
Salyan,NA
Nuwakot,29
Nuwakot,20
Bara,22
Morang,21
Rautahat,50
Syangja,40
Jhapa,30
Chitwan,27
Udayapur,26
Siraha,40
Makwanpur,24
Parsa,NA
Parsa,25
Parsa,27
Kathmandu,40
Lalitpur,66
Lalitpur,40
Kailali,NA
Kailali,NA
Rautahat,40
Dang,52
Khotang,42
Sindhuli,31
Parsa,48
Sunsari,38
Gulmi,22
Dadeldhura,23
Doti,23
Rupandehi,55
Kailali,23
Bhaktapur,54
Taplejung,35
Parasi,51
Dhanusha,77
Gorkha,18
Tanahu,24
Tanahu,NA
Tanahu,NA
Tanahu,NA
Tanahu,NA
Siraha,29
Salyan,17
Kaski,32
Udayapur,30
Palpa,17
Kailali,29
Dang,54
Dhankuta,77
Mustang,55
Mustang,16
Arghakhanchi,48
Dang,28
Solukhumbu,50
Solukhumbu,48
Siraha,26
Morang,28
Kailali,29
Dang,35
Sarlahi,18
Palpa,17
Morang,27
Parbat,44
Parbat,36
Siraha,23
Gorkha,72
Lalitpur,40
Dhankuta,57
Myagdi,20
Bardiya,19
Dang,35
Syangja,36
Rupandehi,NA
Sunsari,22
Gulmi,36
Syangja,36
Rolpa,40
Tanahu,62
Rupandehi,40
Sankhuwasabha,65
Kailali,23
Siraha,30
Kapilvastu,65
Bara,25
Parasi,37
Rupandehi,33
Humla,19
Humla,20
Kailali,23
Achham,24
Achham,25
Bajhang,19
Jumla,20
Jumla,20
Jumla,28
Rupandehi,30
Mustang,26
Kapilvastu,35
Kailali,26
Bardiya,29
Bardiya,14
Dang,20
Dang,18
Myagdi,15
Bara,21
Kanchanpur,16
Mahottari,20
Udayapur,40
Parbat,20
Okhaldhunga,29
Lamjung,NA
Rupandehi,58
Rautahat,25
Rautahat,NA
Rautahat,NA
Udayapur,32
Dailekh,10
Humla,18
Nawalpur,19
Kailali,29
Dhanusha,24
Myagdi,17
Sunsari,52
Dang,44
Bhaktapur,47
Bhojpur,52
India,40
Lalitpur,37
Surkhet,NA
Surkhet,NA
Surkhet,NA
Surkhet,NA
Surkhet,NA
Surkhet,NA
Surkhet,NA
Surkhet,NA
Surkhet,NA
Dang,27
Dang,20
Dang,27
Ramechhap,28
Surkhet,NA
Bajura,27
Dhankuta,27
Makwanpur,34
Kaski,57
Parbat,17
India,45
Dang,22
Dang,NA
Kavrepalanchok,32
Kavrepalanchok,18
Parasi,32
Sunsari,33
Banke,60
Ramechhap,18
Dadeldhura,27
Sankhuwasabha,40
Bhojpur,81
Siraha,22
Sindhupalchok,61
Dhanusha,30
Salyan,27
Parsa,25
Dang,25
Doti,17
Kailali,35
Kailali,19
Lalitpur,68
Parasi,33
Rupandehi,23
Kathmandu,39
Kathmandu,38
Bajhang,20
Lamjung,24
Dang,36
Udayapur,30
Sarlahi,28
Sarlahi,31
Sunsari,20
Sunsari,NA
Sunsari,NA
Sunsari,NA
Sunsari,NA
Sunsari,NA
Sunsari,NA
Kailali,22
Salyan,27
Rupandehi,46
Saptari,45
Bhaktapur,33
Lamjung,29
Sindhupalchok,43
Palpa,20
Lalitpur,39
Kaski,NA
Udayapur,43
Sindhuli,22
Sindhuli,24
Sindhuli,22
Tanahu,17
Bhojpur,31
Sarlahi,35
Nawalpur,27
Tanahu,32
Nuwakot,36
Dhanusha,45
Tanahu,43
Tanahu,35
Dang,25
Dang,22
Dang,29
Sindhupalchok,30
Solukhumbu,22
Rupandehi,18
Parsa,20
Parsa,25
Saptari,51
Sarlahi,NA
Sarlahi,NA
Morang,45
Dang,26
Udayapur,25
DolaKha,43
Rukum West,26
Kalikot,27
India,22
Nawalpur,22
Nawalpur,18
Nawalpur,23
India,NA
Nawalpur,17
Nawalpur,NA
Nawalpur,NA
Kathmandu,31
Kanchanpur,50
Sunsari,52
Rukum West,42
Nuwakot,28
Jhapa,55
Udayapur,68
Ramechhap,41
Siraha,48
Palpa,25
Terhathum,54
Kathmandu,NA
Dhankuta,37
Siraha,16
Dhanusha,27
Terhathum,22
Kathmandu,20
Myagdi,24
Myagdi,22
Myagdi,18
Dailekh,40
Dhanusha,20
Rukum East,24
Gulmi,46
Siraha,24
Parsa,19
Udayapur,23
Rupandehi,32
Chitwan,24
Siraha,18
Myagdi,78
Nawalpur,25
Nawalpur,21
Kapilvastu,21
Gulmi,46
Gulmi,19
Dailekh,NA
Mahottari,42
Mahottari,24
Terhathum,25
Dhanusha,75
Bhaktapur,31
Terhathum,25
Rupandehi,43
Parasi,25
Parbat,28
Terhathum,38
Myagdi,28
Morang,24
Bhojpur,25
Ramechhap,72
Ramechhap,18
Bara,32
Solukhumbu,39
Dailekh,36
Parsa,21
Dang,19
Parsa,21
Parsa,20
Humla,28
Terhathum,21
Jhapa,27
Rupandehi,38
Jhapa,NA
Morang,34
Ramechhap,50
Saptari,38
"Sitamadhi, India",45
Dhanusha,50
Jhapa,40
Sindhupalchok,21
Bardiya,23
Bara,20
Sindhupalchok,16
Khotang,32
Morang,22
Saptari,16
Rupandehi,20
Rupandehi,26
Bardiya,21
Parsa,20
Dailekh,23
Jajarkot,18
Rautahat,30
Nuwakot,22
Sarlahi,38
Kailali,14
Kaski,31
Bardiya,41
Mahottari,20
Sankhuwasabha,35
Terhathum,16
Khotang,NA
Surkhet,31
Surkhet,NA
Udayapur,26
Bara,NA
Lamjung,45
Tanahu,32
Dhanusha,38
Rupandehi,59
Rolpa,20
Tanahu,28
Kirtipur,21
Rupandehi,NA
Dhanusha,20
Lalitpur,23
Kathmandu,NA
Saptari,21
Darchula,33
Khotang,26
Bara,40
Arghakhanchi,35
Palpa,31
Myagdi,62
Baitadi,22
Saptari,30
Bardiya,44
Rupandehi,34
Gulmi,NA
Darchula,45
Kapilvastu,NA
Kapilvastu,NA
Kapilvastu,NA
Kapilvastu,NA
Kapilvastu,NA
Jumla,20
Jumla,20
Sindhupalchok,23
Lalitpur,14
Sankhuwasabha,39
Mugu,34
Kailali,26
Baglung,32
Dolakha,19
Ramechhap,NA
Lamjung,45
Jajarkot,48
India,25
Kapilvastu,NA
Darchula,33
Dailekh,20
Pyuthan,25
Rupandehi,25
Lamjung,NA
Jumla,55
Jhapa,28
Chitwan,45
Surkhet,20
Palpa,39
Terhathum,32
Palpa,NA
Bardiya,74
Bara,NA
Lalitpur,23
Makwanpur,37
Baglung,24
Jhapa,38
Ilam,NA
Ilam,NA
Kavrepalanchok,28
Mustang,29
Kathmandu,24
Sindhupalchok,22
Sarlahi,34
Bara,25
Bara,NA
Bara,NA
Gulmi,NA
Mahottari,32
Nuwakot,20
Okhaldhunga,22
Okhaldhunga,31
Okhaldhunga,40
Rukum West,36
Rupandehi,41
Rupandehi,60
Myagdi,29
Kailali,22
Dhankuta,76
Dang,24
Dang,23
Bajhang,14
Bajhang,15
Bajhang,16
Makwanpur,26
Palpa,31
Tanahu,17
Bajhang,NA
Bara,19
Taplejung,26
Solukhumbu,26
Udayapur,20
Udayapur,22
Doti,24
Saptari,30
Sindhupalchok,16
Jajarkot,26
Khotang,61
Morang,36
Gulmi,35
Ramechhap,62
Parsa,50
Bhaktapur,25
Saptari,30
Dhading,40
Kaski,NA
Mustang,32
Banke,20
Sindhupalchok,81
Sindhupalchok,80
Palpa,43
Makwanpur,NA
Khotang,16
Kathmandu,26
Kathmandu,18
Kathmandu,NA
Rautahat,55
Kanchanpur,25
Morang,35
Sunsari,19
Salyan,23
Salyan,21
Kailali,41
Bhojpur,32
Dhankuta,31
Rupandehi,NA
Dolakha,32
Bhojpur,44
Bardiya,26
Nuwakot,19
Baitadi,NA
Gulmi,59
Sindhupalchok,56
Palpa,13
Bardiya,26
Kaski,24
Banke,43
Kapilvastu,22
Rupandehi,49
Makwanpur,NA
Rupandehi,19
Siraha,38
Parsa,NA
Dang,14
Dang,50
Morang,50
Kanchanpur,24
Jhapa,30
Jhapa,28
Kanchanpur,55
Terhathum,21
Dang,38
Palpa,62
Kapilvastu,58
Siraha,23
Rupandehi,48
Sunsari,34
Banke,NA
Nawalpur,27
Humla,22
Dang,29
Ilam,58
Morang,25
Siraha,35
Dhanusha,22
Gulmi,18
Gulmi,19
Palpa,25
Rupandehi,14
Dhanusha,55
Dhanusha,35
Rolpa,34
Rupandehi,32
Rupandehi,19
Rupandehi,37
Gulmi,27
Sankhuwasabha,21
Siraha,25
Dang,34
Bhaktapur,50
Myagdi,66
Chitwan,31
Salyan,15
Nawalpur,35
Kapilvastu,31
Kapilvastu,23
Jumla,NA
Humla,25
Kapilvastu,19
Kapilvastu,21
Kapilvastu,24
Nuwakot,25
Nuwakot,18
Nuwakot,18
Kailali,62
Mahottari,35
Myagdi,48
Lalitpur,34
Ramechhap,NA
Okhaldhunga,51
Kalikot,18
Lamjung,30
Bara,19
Panchthar,NA
Siraha,38
Kathmandu,NA
Sarlahi,35
India,31
India,22
Kailali,18
Salyan,19
Salyan,21
Baitadi,27
Taplejung,63
Baitadi,NA
Rupandehi,69
Dang,21
Salyan,19
Salyan,20
Jhapa,40
Kaski,NA
Kaski,NA
Kaski,NA
Kaski,NA
Kaski,NA
Kaski,NA
Kaski,NA
Kaski,NA
Lamjung,28
Panchthar,31
Jhapa,26
Parsa,40
Morang,29
Morang,24
Morang,28
Taplejung,53
Kailali,52
Parsa,70
Ramechhap,39
Gorkha,NA
Siraha,30
Lalitpur,39
Rupandehi,16
Terhathum,29
Jhapa,20
Sarlahi,24
Dolakha,61
Banke,NA
Parsa,NA
Morang,21
Baitadi,NA
Rautahat,16
Rupandehi,20
Mahottari,23
Mahottari,32
Chitwan,27
Udayapur,20
Nuwakot,35
Dang,NA
Dailekh,26
Rupandehi,17
Dhanusha,60
Salyan,24
Kapilvastu,27
Parsa,23
Sindhupalchok,NA
Morang,38
Dhading,22
Salyan,20
Lalitpur,22
Bhaktapur,22
Kathmandu,28
Rupandehi,19
Tanahu,63
Dang,27
Kapilvastu,20
Dhading,20
Bardiya,19
India,20
Lalitpur,19
Lalitpur,19
Bhaktapur,36
Mahottari,19
Dang,25
Dang,18
Rupandehi,24
Okhaldhunga,40
Dolpa,26
Udayapur,61
Udayapur,35
Kailali,19
Kailali,24
Dolpa,26
Sunsari,30
Nuwakot,40
Gulmi,21
Kanchanpur,37
Kanchanpur,33
Kanchanpur,20
Rupandehi,19
Dhading,17
Terhathum,39
Kanchanpur,47
Bardiya,48
Bhaktapur,29
Terhathum,39
Morang,20
Morang,21
Bhojpur,62
Kanchanpur,27
Udayapur,61
Kailali,43
Palpa,21
Rupandehi,NA
Kavrepalanchok,25
Rupandehi,24
Siraha,23
Solukhumbu,28
Udayapur,26
Sindhupalchok,28
Bara,NA
Sunsari,30
Dang,37
Sankhuwasabha,21
Morang,22
India,37
Khotang,45
Syangja,24
"India, Baliya",21
Tanahu,24
Dhankuta,30
Rupandehi,19
Udayapur,23
Bhaktapur,39
Sindhuli,19
Dailekh,28
Panchthar,22
Rupandehi,47
Baitadi,52
Sunsari,19
Solukhumbu,25
Rupandehi,14
Nawalpur,36
Jhapa,39
Saptari,41
Morang,26
Morang,50
Rupandehi,23
Rupandehi,26
Dang,37
Baglung,21
Morang,26
Morang,50
Jumla,21
Sarlahi,36
Dang,63
Siraha,22
Rautahat,21
Banke,35
Baglung,22
Baglung,21
Siraha,24
Sunsari,35
Terhathum,67
Kanchanpur,51
Humla,19
Rupandehi,34
Gorkha,62
Sarlahi,36
Bhaktapur,19
Bhojpur,26
Saptari,40
Siraha,24
Rupandehi,36
Morang,58
Ramechhap,26
Rautahat,28
Dhankuta,23
Sankhuwasabha,19
Kailali,23
Kailali,22
Kailali,23
Kailali,23
Darchula,27
Tanahu,39
Palpa,15
Siraha,18
Bhojpur,79
Ramechhap,23
Kalikot,25
Parsa,59
sarlahi,36
Bhaktapur,24
Palpa,36
Kailali,16
Kailali,17
Terhathum,52
Sarlahi,32
Banke,13
Parasi,26
Darchula,36
Sindhupalchok,22
Nawalpur,20
Sankhuwasabha,20
Dhanusha,27
Pyuthan,24
Pyuthan,30
Rupandehi,24
Siraha,28
Dhading,21
Rupandehi,56
Rupandehi,18
Sarlahi,29
Solukhumbu,19
Sindhupalchok,53
Kathmandu,21
Kathmandu,21
Sindhupalchok,30
Dang,35
Mahottari,34
Saptari,18
Dhading,22
Dang,28
Jhapa,41
sarlahi,26
Hetauda,41
Nuwakot,28
Rupandehi,22
Rupandehi,17
Rupandehi,23
Dang,35
Jhapa,30
Nuwakot,19
Nuwakot,20
Nuwakot,17
Jhapa,29
Sunsari,22
Morang,12
Morang,19
Dolakha,35
Dang,21
Dolakha,60
Siraha,20
Udayapur,30
sarlahi,36
Dang,35
Dang,16
Kanchanpur,18
Dang,22
Lalitpur,42
Dang,42
Siraha,20
Sindhupalchok,49
Udayapur,18
Udayapur,18
Dailekh,38
Dhading,40
Rupandehi,13
Bhojpur,17
Dolakha,30
Rukum West,55
Dhanusha,30
Bardiya,24
Bardiya,24
Bardiya,24
Bardiya,24
Morang,20
Siraha,36
Dang,16
Dang,18
Dang,20
Dang,20
Gorkha,19
Nawalpur,29
Nuwakot,35
parsa,NA
Bhojpur,23
Parsa,NA
Udayapur,16
Mahottari,45
Baglung,21
Nawalpur,NA
Saptari,46
Kathmandu,NA
Sarlahi,NA
Sarlahi,29
Kathmandu,45
Kaski,NA
Udayapur,NA
Saptari,21
Parsa,42
Kapilvastu,35
Morang,40
Baglung,NA
Mustang,30
Parsa,21
Terhathum,35
Morang,NA
Dolakha,NA
Gorkha,NA
Udayapur,35
Rupandehi,50
Humla,27
Ilam,NA
Sankhuwasabha,NA
Lalitpur,NA
Baglung,17
Rupandehi,21
Jhapa,31
Gulmi,28
Sankhuwasabha,NA
Saptari,46
Bardiya,NA
Nawalpur,NA
Jhapa,59
Dang,26
Gorkha,NA
Dolakha,21
Surkhet,NA
Lalitpur,NA
Kathmandu,NA
Sindhuli,23
Kanchanpur,53
Pyuthan,NA
Khotang,33
Jajarkot,NA
Gorkha,48
