District,Age
Lalitpur,22
Banke,52
Siraha,17
Sunsari,32
Bhojpur,28
Pyuthan,15
Banke,25
Chitwan,16
Kavrepalanchok,22
Dhanusha,17
Dhanusha,NA
Mahottari,25
Mahottari,20
Dang,15
Nawalpur,19
Parsa,30
Chitwan,28
Saptari,19
Saptari,12
Lalitpur,37
Banke,NA
Banke,22
Palpa,NA
Lamjung,72
Baglung,39
Pyuthan,21
Kavrepalanchok,25
Kaski,27
Bardiya,23
Saptari,50
Saptari,18
Udayapur,67
Jajarkot,NA
Baitadi,16
Sindhupalchok,58
Salyan,NA
Kaski,25
Bajura,50
Bardiya,30
Dhanusha,18
Kailali,36
Gulmi,21
Parasi,46
Salyan,63
Makwanpur,49
Khotang,36
Rolpa,18
Rautahat,47
Udayapur,17
Makwanpur,35
Bhojpur,53
Kathmandu,46
Gorkha,44
Kavrepalanchok,66
Dhanusha,NA
Dhanusha,NA
Dhanusha,NA
Mahottari,NA
Kaski,45
Sindhupalchok,17
Jhapa,22
Saptari,59
Mahottari,35
Sunsari,27
Jhapa,60
Chitwan,53
Siraha,43
Siraha,42
Jhapa,55
Palpa,17
Kanchanpur,30
Nuwakot,31
Nuwakot,34
Nuwakot,25
Kanchanpur,23
Parsa,72
Saptari,19
Sunsari,35
Dang,64
Bara,21
Kirtipur,18
Tanahu,13
Bajura,45
Rautahat,17
Khotang,59
Bajhang,22
Bajhang,22
Bajhang,21
Bajhang,NA
Bajhang,NA
Taplejung,20
Bara,43
Kanchanpur,35
Saptari,23
Saptari,18
Kanchanpur,42
Saptari,61
Bardiya,41
Chitwan,24
Lamjung,28
Kapilvastu,20
Parsa,18
Sindhupalchok,37
Kathmandu,21
Saptari,25
Ilam,20
Jhapa,41
Jhapa,30
Khotang,18
Dailekh,18
Kavrepalanchok,19
Dolakha,13
Kavrepalanchok,32
Saudi Country,55
Rautahat,18
Banke,18
Banke,14
Banke,15
Khotang,NA
Dang,18
Udayapur,26
Jajarkot,30
Kanchanpur,27
Banke,NA
Rautahat,26
Banke,45
Dang,35
Jhapa,17
Chitwan,NA
Panchthar,53
Sindhupalchok,29
Sarlahi,40
Sindhupalchok,28
Sunsari,49
Kapilvastu,21
Gorkha,19
Udayapur,30
Mahottari,18
Dang,40
Kailali,20
Kathmandu,25
Bhojpur,43
Udayapur,NA
Udayapur,NA
Kailali,20
Rautahat,40
"Gorakhpur, India",32
Kathmandu,NA
Rupandehi,23
Kavrepalanchok,58
Jhapa,28
Kaski,23
Bhojpur,46
Dang,20
Bhaktapur,28
Kavrepalanchok,24
Jumla,18
Baglung,24
Dang,38
Jajarkot,22
Jajarkot,20
Kanchanpur,32
Bardiya,27
Sindhupalchok,16
Terhathum,20
Udayapur,18
Sunsari,45
Sunsari,56
Sunsari,56
Baitadi,52
Sindhuli,NA
Khotang,NA
Siraha,45
Bhojpur,45
Bhojpur,25
India,26
Kapilvastu,16
Taplejung,20
Sunsari,15
Sunsari,16
Bardiya,52
Parasi,23
Rukum,24
Lamjung,82
Kailali,14
Kailali,13
Kailali,17
Kailali,14
Kailali,14
Kavrepalanchok,17
Solukhumbu,37
Rupandehi,26
Rupandehi,24
Rupandehi,28
Rupandehi,30
Baglung,NA
Kailali,17
Taplejung,21
Mahottari,38
Tanahu,61
Darchula,37
Parasi,20
Kapilvastu,23
Lalitpur,16
Jhapa,47
Banke,58
Kathmandu,42
India,30
Morang,29
Kathmandu,45
Taplejung,51
Chitwan,36
Kaski,28
Lalitpur,20
Kathmandu,NA
Banke,22
Gorkha,85
Surkhet,28
Parsa,35
Bhojpur,32
Rupandehi,56
Ramechhap,28
Kathmandu,28
Rautahat,57
Dhanusha,40
Dang,25
Baitadi,40
Siraha,19
Siraha,19
Siraha,21
Khotang,56
Baitadi,22
Surkhet,48
Makwanpur,40
Mugu,NA
Makwanpur,24
Parsa,18
Siraha,19
Ilam,24
Kathmandu,18
Kathmandu,19
Makwanpur,18
Dhading,16
Australia,45
Tanahu,17
Kathmandu,16
Kavrepalanchok,58
Parasi,27
Kapilvastu,28
Udayapur,25
Siraha,45
Jhapa,29
Terhathum,34
Siraha,18
Siraha,22
Gulmi,18
Gulmi,16
Gulmi,18
Gulmi,24
Baitadi,NA
India,18
"India, Gorakhpur",42
Siraha,50
Saptari,23
Gorkha,85
Ilam,21
Bhaktapur,16
Ramechhap,16
Myagdi,19
Myagdi,39
Udayapur,50
Khotang,54
Udayapur,24
Kathmandu,NA
Bhojpur,21
Saptari,42
Saptari,25
Udayapur,26
Gorkha,42
Siraha,23
Chitwan,52
Chitwan,22
Tanahu,NA
Siraha,28
Siraha,25
Terhathum,17
Arghakhanchi,15
Bhojpur,21
Lalitpur,17
Kavrepalanchok,17
Banke,72
Kathmandu,18
Okhaldhunga,45
Dhanusha,NA
Baglung,35
India,25
Darchula,26
Nuwakot,17
Banke,NA
Chitwan,75
Bardiya,24
Bardiya,29
Parasi,41
Bhojpur,16
Parbat,48
Bhaktapur,NA
Bhaktapur,NA
Bhaktapur,NA
Bhaktapur,NA
Jhapa,18
Rukum West,33
Rupandehi,37
Panchthar,21
Bhaktapur,41
Dang,18
Lamjung,NA
Udayapur,45
Morang,NA
Rukum East,31
Parsa,NA
Ramechhap,38
Kailali,47
Bara,30
Bara,22
Saptari,22
Kavrepalanchok,50
Dhankuta,36
Nawalpur,23
Chitwan,21
Kavrepalanchok,19
Kavrepalanchok,19
Arghakhanchi,68
Morang,22
Dang,NA
Doti,NA
Mugu,NA
Rupandehi,30
Sarlahi,22
Dhanusa,50
Tanahu,45
Parasi,57
Dhanusa,NA
Siraha,25
Siraha,21
Bajura,58
Chitwan,30
Saptari,NA
Rupandehi,16
Myagdi,35
Bardiya,25
Saptari,38
Dang,31
Achham,45
Kaski,55
Udayapur,28
Rupandehi,55
Siraha,38
Bhojpur,22
Bara,83
Kailali,35
Bara,23
Rautahat,45
Siraha,22
Rolpa,13
Kanchanpur,22
Morang,25
Nuwakot,16
Saptari,25
Rupandehi,NA
Jhapa,16
Rautahat,18
Kavrepalanchok,NA
Parasi,32
Lalitpur,21
Rukum West,34
Kaski,NA
Kaski,NA
Sunsari,50
Okhaldhunga,NA
Terhathum,55
Sunsari,55
Siraha,21
Kavrepalanchok,30
Jhapa,42
Siraha,19
Rupandehi,45
Rupandehi,20
Siraha,25
Makwanpur,38
Taplejung,29
Taplejung,31
Taplejung,40
Parsa,21
Siraha,25
Palpa,19
Arghakhanchi,45
Bhaktapur,35
Nawalpur,40
Palpa,25
Bhaktapur,35
Chitwan,39
Chitwan,28
Rupandehi,20
Tanahu,NA
Tanahu,NA
Tanahu,NA
Tanahu,NA
Bara,50
Syangja,71
Gulmi,41
Dolakha,40
Chitwan,40
Rupandehi,43
Kathmandu,27
Dang,44
Kavrepalanchok,19
Saptari,42
Nawalpur,26
Dhanusa,25
Bardiya,19
Rupandehi,27
Dhanusa,25
Kailali,83
Rupandehi,23
Khotang,21
Dhading,23
Khotang,54
Sunsari,35
Dhanusa,35
Kaski,21
Myagdi,32
Ilam,31
Doti,21
Morang,46
Arghakhanchi,39
Makwanpur,45
Khotang,50
Tanahu,25
Okhaldhunga,55
Makwanpur,42
Rupandehi,35
Doti,45
Saptari,20
Jhapa,37
Tanahu,16
Kailali,21
Rupandehi,19
Parasi,21
Bardiya,15
Dadeldhura,25
Dadeldhura,23
Udayapur,52
Siraha,20
Jhapa,40
Nawalpur,45
Surkhet,18
Lalitpur,26
Tanahu,42
Rupandehi,37
Parasi,20
Saptari,NA
Saptari,NA
Lalitpur,45
Rupandehi,53
Kapilvastu,22
Rautahat,19
Lalitpur,34
Dang,35
Terhathum,64
Ramechhap,NA
Bardiya,68
Saptari,45
Solukhumbu,25
Kailali,NA
Kailali,NA
Kailali,NA
Lalitpur,51
Bara,NA
Bara,40
Doti,35
Kathmandu,30
Chitwan,53
Rupandehi,25
Terhathum,62
Siraha,14
Gulmi,NA
Sunsari,30
Dhanusa,28
Lalitpur,20
Kapilvastu,22
Bardiya,35
Siraha,55
Dhading,27
Udayapur,24
Arghakhanchi,60
Dhading,27
Tanahu,19
Sunsari,21
Sunsari,22
Kailali,25
Bardiya,42
Arghakhanchi,42
Mustang,18
Makwanpur,40
Lalitpur,27
Lalitpur,45
Lalitpur,43
Bara,30
Okhaldhunga,65
Makwanpur,20
Jhapa,19
Kanchanpur,22
Kaski,28
Sunsari,35
Chitwan,35
Morang,32
Salyan,42
Parasi,60
Parasi,41
Siraha,22
Nuwakot,35
Saptari,19
Saptari,20
Dhading,47
Sunsari,19
Bhojpur,NA
Rupandehi,30
Palpa,50
Kapilvastu,40
Rupandehi,20
Kathmandu,52
Jhapa,23
Morang,45
Rupandehi,36
Darchula,22
Syangja,68
Parasi,60
Okhaldhunga,16
Kailali,22
Rukum West,25
Dhanusa,20
Dhanusa,18
Saptari,14
Bhaktapur,30
Kapilvastu,27
Bhojpur,20
Bhojpur,28
Makwanpur,42
Chitwan,24
Siraha,22
Kathmandu,23
Dhading,NA
Saptari,NA
Saptari,NA
Bardiya,45
Kathmandu,41
Palpa,28
Pyuthan,29
Achham,20
Arghakhanchi,32
Udayapur,77
Saptari,40
Jajarkot,17
Rasuwa,28
Baitadi,27
Kanchanpur,20
Saptari,28
Bardiya,20
Mugu,28
Bardiya,76
Jhapa,23
Dolpa,39
Banke,NA
Gorkha,40
Rasuwa,30
Morang,20
Morang,25
Morang,22
Morang,22
Rupandehi,22
Nawalpur,65
Morang,41
Dailekh,54
Dang,21
Kathmandu,NA
Sunsari,33
Bardiya,25
Ramechhap,NA
Siraha,22
Mahottari,NA
Lalitpur,29
Nawalpur,18
Kanchanpur,NA
Parasi,32
Bajhang,60
Kailali,31
Jhapa,40
Siraha,20
Udayapur,27
Jajarkot,20
Jajarkot,21
Kanchanpur,31
Sankhuwasabha,39
Nawalpur,23
Nawalpur,16
Lalitpur,21
Parbat,NA
Dolakha,32
Sunsari,NA
Kailali,50
India,20
Lalitpur,25
Lalitpur,30
Udayapur,22
Parsa,40
Bardiya,23
Tanahu,19
Sunsari,21
Kavrepalanchok,21
Sankhuwasabha,44
Kathmandu,NA
Dang,NA
Nuwakot,NA
Dailekh,40
Taplejung,NA
Khotang,24
Bhojpur,38
Kavrepalanchok,32
Surkhet,32
Surkhet,37
Parasi,30
Pyuthan,20
Kanchanpur,NA
Makwanpur,20
Chitwan,49
Kailali,19
Baitadi,50
Baitadi,50
Udayapur,31
Surkhet,48
Baglung,43
Kathmandu,25
Jhapa,30
Parasi,65
Dadeldhura,39
Lalitpur,24
Kanchanpur,29
Kathmandu,31
Sindhupalchok,19
Bardiya,25
Rupandehi,19
Parasi,32
Gulmi,41
Makwanpur,38
Kailali,20
Parasi,NA
Parasi,35
Parasi,30
Dolpa,19
Makwanpur,45
Makwanpur,42
Kathmandu,39
Kathmandu,49
Dang,51
Saptari,20
Ilam,31
Saptari,40
Siraha,20
Kanchanpur,22
Bardiya,30
Rupandehi,18
Bara,NA
Kanchanpur,NA
Rautahat,NA
Syangja,19
Siraha,NA
Siraha,NA
Siraha,20
Siraha,23
Bhaktapur,24
Sunsari,19
Kathmandu,43
Bhaktapur,26
Solukhumbu,44
Lalitpur,NA
Kailali,33
Salyan,23
Dang,18
Dang,28
Myagdi,52
Nawalpur,42
Kailali,NA
Siraha,19
Saptari,25
Panchthar,28
Kanchanpur,21
Darchula,15
Parasi,22
Bara,45
Morang,25
Dolakha,25
Parasi,22
Nawalpur,NA
Morang,NA
Salyan,25
Dailekh,57
Bardiya,28
Dhankuta,24
Banke,24
Dailekh,27
Jhapa,30
Chitwan,18
Chitwan,28
Chitwan,25
Rautahat,54
Ramechhap,24
Saptari,26
Bara,55
Makwanpur,76
Mugu,19
Dhading,28
Gulmi,31
Gulmi,19
Baglung,19
Parsa,36
Kailali,48
Jhapa,29
Jajarkot,22
Lalitpur,NA
Kanchanpur,NA
Kailali,15
Nuwakot,25
Kathmandu,NA
Nuwakot,30
Dang,22
Sindhupalchok,20
Mahottari,25
India,49
Saptari,26
Rupandehi,23
Rupandehi,22
Rupandehi,NA
Rupandehi,NA
Gorkha,18
Kathmandu,21
Dhanusha,26
Saptari,24
Rautahat,41
Gulmi,23
Dhanusha,32
Dhanusha,22
Bajura,NA
Rupandehi,29
Rautahat,14
Myagdi,35
Bhaktapur,NA
Kailali,21
Bhaktapur,21
Lalitpur,NA
Bara,73
Mahottari,NA
Bara,19
Kathmandu,46
Kailali,35
Kailali,31
Kailali,33
Banke,28
Dang,30
Kathmandu,NA
Chitwan,35
Udayapur,47
Sindhuli,26
Dolakha,63
Dang,28
Dang,NA
Dolakha,17
Siraha,38
Dang,22
Kapilvastu,25
Rautahat,28
Rautahat,18
Myagdi,36
Gulmi,20
Bara,40
Banke,20
Banke,19
Sarlahi,30
Bajura,20
Terhathum,41
Jhapa,NA
Mugu,22
Jhapa,25
Rupandehi,NA
Syangja,20
Syangja,23
Kailali,20
Kailali,21
Kailali,20
Kailali,24
Rupandehi,37
Saptari,19
Rautahat,55
Bardiya,15
Kanchanpur,68
Nuwakot,60
Kapilvastu,45
Kapilvastu,17
Dhanusha,27
Bhaktapur,23
Morang,14
Jhapa,16
Udayapur,31
Sunsari,19
Sunsari,NA
Sunsari,NA
Dang,22
Saptari,25
Rautahat,50
Jhapa,52
Siraha,22
Palpa,30
Rupandehi,24
Morang,48
Salyan,33
Bhojpur,68
Darchula,29
Siraha,42
Dhanusha,40
Nuwakot,18
Bhaktapur,59
Morang,39
Nawalpur,29
Rupandehi,19
Dang,25
Parsa,NA
Dhankuta,NA
Dhankuta,NA
Dhankuta,NA
Dhankuta,NA
Kapilvastu,24
Saptari,NA
Morang,24
Sunsari,NA
Dang,21
Dang,20
Dang,NA
Dang,NA
Dang,NA
Morang,35
Sunsari,19
Rupandehi,26
Bardiya,23
Udayapur,65
Makwanpur,48
India,20
Kavrepalanchok,29
Bhaktapur,22
Palpa,24
Palpa,28
Palpa,43
Myagdi,40
Dhading,37
Syangja,40
Kapilvastu,28
Sunsari,61
Dang,55
Sindhupalchok,43
Jhapa,45
Qatar,29
Kailali,45
Siraha,22
Udayapur,25
Parasi,26
Udayapur,18
Kathmandu,32
Dang,18
Parasi,23
Panchthar,40
Siraha,25
Siraha,20
Siraha,23
Siraha,19
Bhaktapur,31
Dang,38
Kapilvastu,23
Rupandehi,14
Kailali,18
Kailali,21
Kailali,19
Kailali,20
Siraha,22
Nuwakot,27
Nawalpur,29
Nawalpur,28
Kanchanpur,25
Siraha,NA
Rupandehi,20
Kailali,20
Kailali,20
Kailali,18
Parasi,20
Taplejung,64
Saptari,25
Jhapa,22
Kanchanpur,22
Kailali,19
Kailali,20
Dang,19
Dang,20
Dang,NA
Kapilvastu,19
Bhaktapur,35
Sarlahi,36
Saptari,23
Baitadi,21
Kavrepalanchok,21
Parbat,32
Lalitpur,23
Bara,53
Sindhupalchok,40
Kailali,24
Rukum East,23
Rukum East,29
Sindhuli,NA
Salyan,39
Kathmandu,NA
Kailali,29
Banke,21
Banke,22
Kapilvastu,34
Jhapa,30
Rukum West,16
Bardiya,28
Bardiya,
Bardiya,
Bardiya,
Gulmi,27
Okhaldhunga,NA
Dang,18
Kapilvastu,25
Kapilvastu,30
Kanchanpur,66
Gulmi,55
Sindhupalchok,60
