District,Ethnicity code
Parsa,AVS
Dang,DLT
Dailekh,BMN
Kailali,DLT
Sunsari,BMN
Kailali,DLT
Rupandehi,MSLM
Rupandehi,JNJT
Udayapur,AVS
Saptari,MDS
Dang,AVS
Jhapa,AVS
Jhapa,DLT
Morang,MDS
Dhankuta,AVS
Rupandehi,MDS
Sunsari,BMN
Morang,CHT
Nawalpur,MDS
Nawalpur,MDS
Nawalpur,MDS
Bhaktapur,BMN
Bhaktapur,AVS
Bhaktapur,JNJT
Bhaktapur,BMN
Bhaktapur,DLT
Okhaldhunga,AVS
Humla,REG
Saptari,BMN
Syangja,AVS
Syangja,JNJT
Syangja,BMN
Baglung,DLT
Bajhang,MDS
Kathmandu,CHT
Parasi,AVS
Bhaktapur,CHT
Morang,OTR
America,OTR
Kanchanpur,AVS
Banke,DLT
Kailali,REG
Makwanpur,REG
Lalitpur,AVS
Lalitpur,CHT
Saptari,DLT
Kavrepalanchok,AVS
Syangja,DLT
Jhapa,AVS
Parsa,MDS
Morang,CHT
Kapilvastu,BMN
Jhapa,OTR
Nuwakot,MSLM
Dhanusha,MDS
Dhading,MSLM
Bhaktapur,OTR
Kavrepalanchok,AVS
Sindhupalchok,CHT
Parasi,MDS
Gorkha,AVS
Dang,DLT
Ramechhap,BMN
Dhanusha,MDS
Kaski,AVS
Sindhupalchok,AVS
Achham,DLT
Humla,AVS
Humla,CHT
Syangja,AVS
Parasi,MDS
Parasi,MSLM
Gorkha,AVS
Okhaldhunga,CHT
Ramechhap,AVS
Bhojpur,BMN
Sindhupalchok,AVS
Bhaktapur,DLT
Sarlahi,MDS
Bardiya,JNJT
Parsa,MSLM
Bardiya,JNJT
Sunsari,MDS
Bardiya,JNJT
Nuwakot,AVS
Udayapur,AVS
Kailali,AVS
Morang,MDS
Kathmandu,CHT
Sindhupalchok,AVS
Dailekh,CHT
Jumla,JNJT
Bhaktapur,MDS
Kathmandu,AVS
Siraha,MSLM
Lalitpur,AVS
Kavrepalanchok,CHT
Palpa,CHT
Palpa,DLT
Parsa,BMN
Dang,KAVS
Bhaktapur,BMN
Ilam,CHT
Kapilvastu,MSLM
China,OTR
Bhojpur,AVS
Mahottari,BMN
Kalikot,REG
Kalikot,REG
Kalikot,REG
Syangja,DLT
Rupandehi,DLT
Kailali,AVS
Sunsari,CHT
Sunsari,CHT
Sunsari,DLT
Bhaktapur,AVS
Bardiya,DLT
Kathmandu,MDS
Sunsari,AVS
Lamjung,AVS
Siraha,MDS
Morang,MDS
Rolpa,BMN
Rolpa,BMN
Baitadi,AVS
Baitadi,AVS
Surkhet,JNJT
Surkhet,JNJT
Surkhet,JNJT
Bhaktapur,AVS
Bhaktapur,AVS
Kanchanpur,DLT
Rupandehi,REG
Dailekh,CHT
Sunsari,MSLM
Lalitpur,CHT
Kailali,OTR
Kailali,BMN
Kailali,BMN
Kailali,MDS
Taplejung,TBT
Morang,DLT
Makwanpur,BMN
Makwanpur,AVS
Makwanpur,AVS
Makwanpur,AVS
Makwanpur,BMN
Kanchanpur,DLT
Palpa,REG
Dang,MDS
Ramechhap,AVS
Kanchanpur,AVS
Nuwakot,AVS
Dhanusha,MDS
India,OTR
Kaski,DLT
Kavrepalanchok,BMN
Manang,AVS
Siraha,BMN
parsa,MSLM
India,BMN
Dhankuta,AVS
Parsa,MDS
Parsa,MDS
Siraha,MDS
Jhapa,AVS
Jhapa,DLT
Kanchanpur,DLT
Khotang,AVS
Kathmandu,AVS
Bhaktapur,AVS
Rolpa,MDS
Dang,MDS
Palpa,BMN
Bardiya,AVS
Saptari,MDS
Salyan,OTR
Nuwakot,DLT
Nuwakot,JNJT
Bara,AVS
Morang,AVS
Rautahat,MDS
Jhapa,AVS
Chitwan,BMN
Udayapur,JNJT
Siraha,BMN
Makwanpur,JNJT
Parsa,MDS
Parsa,MDS
Parsa,MDS
Lalitpur,OTR
Lalitpur,JNJT
Rautahat,MDS
Dang,AVS
Khotang,BMN
Sindhuli,DLT
Parsa,DLT
Sunsari,AVS
Gulmi,DLT
Dadeldhura,BMN
Doti,REG
Rupandehi,AVS
Kailali,BMN
Bhaktapur,OTR
Taplejung,BMN
Parasi,BMN
Dhanusha,BMN
Gorkha,AVS
Tanahu,AVS
Siraha,AVS
Kaski,DLT
Udayapur,DLT
Kailali,AVS
Dang,AVS
Dhankuta,DLT
Mustang,BMN
Mustang,BMN
Dang,AVS
Solukhumbu,TBT
Solukhumbu,TBT
Siraha,MDS
Morang,MDS
Kailali,DLT
Sarlahi,MDS
Morang,AVS
Siraha,MDS
Gorkha,BMN
Lalitpur,AVS
Dhankuta,AVS
Myagdi,OTR
Bardiya,JNJT
Syangja,JNJT
Rupandehi,MDS
Sunsari,MSLM
Rolpa,DLT
Rupandehi,JNJT
Sankhuwasabha,TBT
Kailali,AVS
Siraha,AVS
Kapilvastu,BMN
Bara,MDS
Parasi,MDS
Rupandehi,AVS
Humla,BMN
Humla,BMN
Kailali,AVS
Achham,OTR
Achham,CHT
Bajhang,DLT
Jumla,DLT
Jumla,DLT
Jumla,CHT
Rupandehi,CHT
Kailali,CHT
Bardiya,AVS
Dang,DLT
Dang,OTR
Bara,MDS
Mahottari,MDS
Udayapur,AVS
Parbat,BMN
Okhaldhunga,AVS
Lamjung,CHT
Rupandehi,DLT
Rautahat,MDS
Udayapur,AVS
Humla,CHT
Kailali,AVS
Sunsari,MDS
Bhaktapur,MDS
Bhojpur,JNJT
India,MSLM
Lalitpur,JNJT
Surkhet,DLT
Surkhet,DLT
Surkhet,MDS
Surkhet,MDS
Surkhet,BMN
Surkhet,CHT
Surkhet,DLT
Surkhet,JNJT
Surkhet,MDS
Dang,JNJT
Dang,OTR
Dang,JNJT
Ramechhap,AVS
Bajura,OTR
Dhankuta,CHT
Kaski,AVS
India,MSLM
Dang,DLT
Kavrepalanchok,DLT
Kavrepalanchok,AVS
Parasi,AVS
Sunsari,KAVS
Ramechhap,AVS
Dadeldhura,AVS
Sankhuwasabha,AVS
Bhojpur,AVS
Siraha,AVS
Sindhupalchok,AVS
Dhanusha,MDS
Salyan,OTR
Parsa,MSLM
Dang,MSLM
Kailali,REG
Kailali,BMN
Lalitpur,BMN
Parasi,CHT
Rupandehi,MDS
Kathmandu,BMN
Kathmandu,BMN
Bajhang,BMN
Lamjung,AVS
Dang,KAVS
Udayapur,DLT
Sarlahi,MDS
Sarlahi,MDS
Sunsari,AVS
Kailali,AVS
Rupandehi,CHT
Bhaktapur,MDS
Lamjung,OTR
Sindhupalchok,REG
Palpa,DLT
Udayapur,JNJT
Sindhuli,AVS
Sindhuli,JNJT
Sindhuli,JNJT
Bhojpur,AVS
Sarlahi,MDS
Tanahu,DLT
Nuwakot,DLT
Dhanusha,MDS
Tanahu,BMN
Tanahu,AVS
Dang,OTR
Dang,JNJT
Dang,DLT
Sindhupalchok,DLT
Solukhumbu,AVS
Rupandehi,DLT
Parsa,MDS
Parsa,MDS
Sarlahi,CHT
Morang,AVS
Dang,AVS
Udayapur,AVS
Rukum West,BMN
Kalikot,REG
India,OTR
Nawalpur,JNJT
Nawalpur,MDS
Nawalpur,KAVS
India,OTR
Kathmandu,REG
Kanchanpur,MDS
Sunsari,CHT
Rukum West,DLT
Nuwakot,BMN
Jhapa,CHT
Udayapur,AVS
Ramechhap,OTR
Siraha,MDS
Palpa,JNJT
Terhathum,DLT
Kathmandu,BMN
Dhankuta,DLT
Siraha,MDS
Dhanusha,AVS
Terhathum,AVS
Kathmandu,AVS
Myagdi,DLT
Myagdi,OTR
Myagdi,OTR
Dailekh,OTR
Dhanusha,MDS
Rukum East,OTR
Gulmi,DLT
Siraha,MDS
Parsa,MSLM
Udayapur,DLT
Rupandehi,JNJT
Chitwan,BMN
Nawalpur,MDS
Nawalpur,MDS
Kapilvastu,CHT
Gulmi,DLT
Mahottari,MDS
Mahottari,MDS
Terhathum,MDS
Dhanusha,MDS
Bhaktapur,OTR
Terhathum,DLT
Parasi,MDS
Parbat,BMN
Terhathum,CHT
Myagdi,MDS
Morang,MDS
Bhojpur,JNJT
Ramechhap,AVS
Ramechhap,AVS
Bara,MDS
Solukhumbu,DLT
Parsa,MSLM
Dang,MDS
Parsa,MDS
Parsa,MDS
Humla,AVS
Terhathum,AVS
Jhapa,BMN
Rupandehi,AVS
Morang,BMN
Ramechhap,DLT
Saptari,MDS
"Sitamadhi, India",MDS
Dhanusha,BMN
Jhapa,CHT
Sindhupalchok,AVS
Bardiya,JNJT
Bara,MDS
Khotang,OTR
Morang,BMN
Rupandehi,MDS
Rupandehi,MDS
Bardiya,AVS
Parsa,MDS
Dailekh,DLT
Jajarkot,CHT
Rautahat,MDS
Nuwakot,AVS
Sarlahi,JNJT
Kaski,BMN
Bardiya,JNJT
Mahottari,AVS
Sankhuwasabha,AVS
Khotang,BMN
Surkhet,DLT
Surkhet,AVS
Udayapur,AVS
Bara,BMN
Tanahu,DLT
Dhanusha,MDS
Rupandehi,BMN
Rolpa,BMN
Tanahu,DLT
Kirtipur,AVS
Dhanusha,MDS
Lalitpur,AVS
Saptari,MDS
Darchula,AVS
Khotang,AVS
Bara,MSLM
Arghakhanchi,MDS
Palpa,DLT
Myagdi,DLT
Baitadi,CHT
Saptari,MDS
Bardiya,DLT
Rupandehi,JNJT
Gulmi,BMN
Darchula,AVS
Kapilvastu,CHT
Kapilvastu,JNJT
Kapilvastu,CHT
Kapilvastu,BMN
Kapilvastu,CHT
Jumla,BMN
Jumla,BMN
Sankhuwasabha,DLT
Mugu,JNJT
Kailali,BMN
Baglung,BMN
Dolakha,CHT
Ramechhap,CHT
Jajarkot,JNJT
India,BMN
Darchula,KCHT
Dailekh,BMN
Pyuthan,DLT
Rupandehi,OTR
Jumla,BMN
Jhapa,AVS
Chitwan,OTR
Surkhet,DLT
Palpa,DLT
Terhathum,DLT
Palpa,DLT
Bara,AVS
Lalitpur,DLT
Makwanpur,MDS
Baglung,AVS
Jhapa,MDS
Ilam,CHT
Ilam,AVS
Kavrepalanchok,AVS
Mustang,DLT
Kathmandu,AVS
Sindhupalchok,TBT
Sarlahi,AVS
Bara,MDS
Bara,MDS
Bara,MDS
Mahottari,MDS
Nuwakot,CHT
Okhaldhunga,KAVS
Okhaldhunga,KAVS
Okhaldhunga,MDS
Rukum West,BMN
Rupandehi,OTR
Myagdi,DLT
Kailali,AVS
Dhankuta,BMN
Dang,DLT
Dang,AVS
Makwanpur,OTR
Palpa,BMN
Bajhang,BMN
Bara,AVS
Taplejung,AVS
Udayapur,DLT
Udayapur,CHT
Doti,CHT
Saptari,MDS
Jajarkot,DLT
Khotang,JNJT
Morang,MDS
Ramechhap,BMN
Parsa,CHT
Bhaktapur,CHT
Saptari,MDS
Dhading,DLT
Kaski,BMN
Mustang,AVS
Banke,MSLM
Sindhupalchok,DLT
Kathmandu,CHT
Kathmandu,CHT
Kathmandu,CHT
Rautahat,AVS
Kanchanpur,MSLM
Morang,MSLM
Sunsari,AVS
Salyan,BMN
Salyan,CHT
Kailali,BMN
Bhojpur,AVS
Dhankuta,AVS
Rupandehi,BMN
Dolakha,DLT
Bhojpur,CHT
Bardiya,OTR
Nuwakot,AVS
Gulmi,AVS
Sindhupalchok,KAVS
Bardiya,DLT
Banke,AVS
Kapilvastu,DLT
Rupandehi,DLT
Rupandehi,DLT
Siraha,MDS
Dang,AVS
Morang,CHT
Kanchanpur,DLT
Jhapa,MDS
Jhapa,AVS
Kanchanpur,JNJT
Terhathum,DLT
Dang,BMN
Palpa,OTR
Kapilvastu,BMN
Siraha,MDS
Rupandehi,DLT
Sunsari,CHT
Banke,BMN
Nawalpur,DLT
Humla,DLT
Dang,DLT
Morang,AVS
Dhanusha,MDS
Gulmi,DLT
Palpa,DLT
Dhanusha,MDS
Dhanusha,MSLM
Rolpa,CHT
Rupandehi,DLT
Rupandehi,CHT
Gulmi,DLT
Sankhuwasabha,TBT
Siraha,MDS
Dang,CHT
Bhaktapur,CHT
Myagdi,BMN
Chitwan,CHT
Nawalpur,MSLM
Kapilvastu,DLT
Kapilvastu,AVS
Jumla,MDS
Humla,DLT
Kapilvastu,MDS
Kapilvastu,MDS
Kapilvastu,MDS
Nuwakot,AVS
Nuwakot,AVS
Nuwakot,AVS
Kailali,REG
Mahottari,MDS
Myagdi,BMN
Lalitpur,AVS
Ramechhap,BMN
Okhaldhunga,DLT
Kalikot,MDS
Lamjung,AVS
Bara,MSLM
Panchthar,OTR
Siraha,MDS
Kathmandu,BMN
Sarlahi,MDS
India,MDS
India,MDS
Salyan,JNJT
Salyan,JNJT
Baitadi,AVS
Baitadi,AVS
Rupandehi,DLT
Dang,BMN
Salyan,BMN
Salyan,CHT
Jhapa,AVS
Kaski,REG
Kaski,BMN
Kaski,BMN
Kaski,BMN
Kaski,REG
Kaski,BMN
Kaski,BMN
Kaski,DLT
Lamjung,AVS
Panchthar,AVS
Jhapa,OTR
Parsa,AVS
Morang,MDS
Morang,MDS
Morang,MDS
Taplejung,AVS
Kailali,OTR
Parsa,MDS
Ramechhap,CHT
Gorkha,JNJT
Lalitpur,DLT
Jhapa,BMN
Sarlahi,MDS
Parsa,MSLM
Morang,DLT
Baitadi,DLT
Rupandehi,MSLM
Mahottari,DLT
Mahottari,JNJT
Chitwan,AVS
Udayapur,JNJT
Nuwakot,DLT
Dang,BMN
Dailekh,BMN
Dhanusha,AVS
Salyan,BMN
Kapilvastu,BMN
Parsa,MDS
Sindhupalchok,CHT
Morang,DLT
Dhading,AVS
Salyan,JNJT
Lalitpur,AVS
Bhaktapur,CHT
Kathmandu,AVS
Rupandehi,CHT
Tanahu,CHT
Dang,AVS
Kapilvastu,OTR
Dhading,BMN
Bardiya,AVS
India,MSLM
Lalitpur,DLT
Lalitpur,DLT
Bhaktapur,AVS
Mahottari,AVS
Dang,DLT
Rupandehi,MDS
Okhaldhunga,AVS
Dolpa,JNJT
Udayapur,DLT
Udayapur,DLT
Kailali,CHT
Kailali,AVS
Dolpa,JNJT
Sunsari,MSLM
Nuwakot,CHT
Gulmi,DLT
Kanchanpur,JNJT
Kanchanpur,MDS
Kanchanpur,MDS
Rupandehi,CHT
Terhathum,AVS
Kanchanpur,CHT
Bardiya,BMN
Bhaktapur,MSLM
Terhathum,AVS
Morang,BMN
Morang,AVS
Bhojpur,TBT
Udayapur,AVS
Kailali,AVS
Palpa,DLT
Kavrepalanchok,CHT
Rupandehi,CHT
Siraha,DLT
Solukhumbu,TBT
Udayapur,DLT
Sindhupalchok,BMN
Sunsari,MSLM
Dang,BMN
Sankhuwasabha,DLT
Morang,DLT
India,MDS
Khotang,AVS
Syangja,CHT
"India, Baliya",MDS
Dhankuta,AVS
Rupandehi,AVS
Udayapur,REG
Sindhuli,DLT
Dailekh,BMN
Panchthar,DLT
Sunsari,DLT
Solukhumbu,AVS
Nawalpur,MDs
Jhapa,BMN
Saptari,AVS
Morang,BMN
Morang,AVS
Rupandehi,BMN
Rupandehi,DLT
Dang,BMN
Baglung,DLT
Morang,BMN
Morang,AVS
Jumla,DLT
Sarlahi,MDS
Dang,AVS
Siraha,MDS
Rautahat,MSLM
Banke,KG
Baglung,DLT
Baglung,DLT
Siraha,MDS
Sunsari,MDS
Terhathum,MDS
Kanchanpur,MDS
Humla,DLT
Rupandehi,BMN
Gorkha,BMN
Sarlahi,MDS
Bhaktapur,AVS
Bhojpur,CHT
Saptari,MDS
Siraha,MDS
Rupandehi,AVS
Ramechhap,AVS
Rautahat,MSLM
Dhankuta,AVS
Sankhuwasabha,AVS
Kailali,AVS
Kailali,AVS
Kailali,CHT
Kailali,AVS
Darchula,CHT
Tanahu,CHT
Ramechhap,CHT
Kalikot,CHT
Parsa,CHT
sarlahi,MSLM
Bhaktapur,BMN
Palpa,DLT
Terhathum,DLT
Sarlahi,MDS
Parasi,AVS
Darchula,BMN
Sindhupalchok,BMN
Nawalpur,DLT
Sankhuwasabha,AVS
Dhanusha,MDS
Pyuthan,DLT
Pyuthan,REG
Rupandehi,MSLM
Siraha,MDS
Dhading,AVS
Rupandehi,DLT
Sarlahi,MDS
Sindhupalchok,AVS
Kathmandu,AVS
Kathmandu,AVS
Dang,BMN
Saptari,MDS
Dang,DLT
Jhapa,KAVS
sarlahi,MDS
Hetauda,BMN
Nuwakot,AVS
Rupandehi,CHT
Rupandehi,CHT
Jhapa,MSLM
Nuwakot,AVS
Nuwakot,AVS
Jhapa,DLT
Sunsari,MDS
Dolakha,CHT
Dang,DLT
Siraha,MDS
Udayapur,AVS
sarlahi,BMN
Dang,CHT
Kanchanpur,DLT
Dang,MDS
Lalitpur,BMN
Dang,CHT
Siraha,REG
Dhading,MDS
Dolakha,AVS
Rukum West,REG
Bardiya,DLT
Bardiya,DLT
Bardiya,DLT
Bardiya,DLT
Morang,MDS
Siraha,MDS
Dang,MSLM
Dang,MSLM
Dang,MSLM
Gorkha,KAVS
Nawalpur,DLT
Nuwakot,AVS
Bhojpur,AVS
Mahottari,AVS
Baglung,CHT
Nawalpur,OTR
Saptari,OTR
Sarlahi,MDS
Saptari,MDS
Parsa,MDS
Kapilvastu,AVS
Morang,AVS
Mustang,DLT
Parsa,MSLM
Terhathum,AVS
Udayapur,AVS
Rupandehi,DLT
Humla,JNJT
Lalitpur,BMN
Rupandehi,DLT
Jhapa,AVS
Gulmi,BMN
Saptari,MDS
Jhapa,CHT
Dang,DLT
Sindhuli,MDS
Kanchanpur,DLT
