District,Ethnicity code
Kavrepalanchok,AVS
Dhanusha,AVS
Dhanusha,AVS
Mahottari,MDS
Mahottari,MDS
Nawalpur,JNJT
Parsa,MDS
Chitwan,MSLM
Saptari,MDS
Saptari,MDS
Palpa,BMN
Lamjung,DLT
Baglung,DLT
Pyuthan,CHT
Kavrepalanchok,AVS
Kaski,DLT
Bardiya,DLT
Udayapur,BMN
Jajarkot,CHT
Sindhupalchok,BMN
Salyan,CHT
Kaski,JNJT
Dhanusha,MDS
Kailali,AVS
Gulmi,BMN
Salyan,OTR
Makwanpur,CHT
Khotang,AVS
Rolpa,JNJT
Rautahat,REG
Udayapur,DLT
Makwanpur,BMN
Bhojpur,DLT
Kathmandu,MDS
Kavrepalanchok,AVS
Dhanusha,MDS
Dhanusha,MDS
Dhanusha,MSLM
Mahottari,MDS
Kaski,BMN
Jhapa,AVS
Saptari,MDS
Sunsari,AVS
Jhapa,AVS
Chitwan,DLT
Siraha,MDS
Siraha,MDS
Jhapa,MDS
Palpa,MDS
Kanchanpur,BMN
Nuwakot,CHT
Nuwakot,AVS
Nuwakot,CHT
Kanchanpur,DLT
Parsa,DLT
Saptari,MSLM
Sunsari,AVS
Dang,DLT
Bara,CHT
Kirtipur,CHT
Tanahu,DLT
Bajura,DLT
Rautahat,MDS
Khotang,CHT
Bajhang,CHT
Bajhang,AVS
Bajhang,CHT
Bajhang,DLT
Bajhang,DLT
Taplejung,AVS
Bara,REG
Kanchanpur,OTR
Saptari,MDS
Saptari,MDS
Kanchanpur,BMN
Saptari,MDS
Bardiya,JNJT
Chitwan,MDS
Lamjung,AVS
Kapilvastu,DLT
Parsa,MSLM
Sindhupalchok,AVS
Kathmandu,AVS
Ilam,AVS
Jhapa,AVS
Jhapa,AVS
Khotang,AVS
Dailekh,REG
Kavrepalanchok,BMN
Kavrepalanchok,BMN
Rautahat,MDS
Banke,JNJT
Banke,JNJT
Banke,JNJT
Khotang,AVS
Dang,DLT
Udayapur,AVS
Jajarkot,REG
Kanchanpur,BMN
Rautahat,MDS
Banke,AVS
Dang,DLT
Jhapa,AVS
Chitwan,DLT
Panchthar,AVS
Sindhupalchok,AVS
Sarlahi,JNJT
Sindhupalchok,AVS
Sunsari,MDS
Kapilvastu,OTR
Gorkha,CHT
Udayapur,CHT
Mahottari,KAVS
Kailali,REG
Bhojpur,BMN
Udayapur,DLT
Udayapur,DLT
Kailali,AVS
Rautahat,MDS
"Gorakhpur, India",MSLM
Rupandehi,MDS
Kavrepalanchok,BMN
Jhapa,AVS
Kaski,DLT
Bhojpur,TBT
Dang,JNJT
Bhaktapur,BMN
Kavrepalanchok,BMN
Jumla,MDS
Baglung,JNJT
Jajarkot,MDS
Jajarkot,CHT
Kanchanpur,BMN
Bardiya,AVS
Terhathum,MDS
Udayapur,CHT
Sunsari,MDS
Sunsari,MDS
Sunsari,MDS
Baitadi,MDS
Bhojpur,CHT
Bhojpur,OTR
India,DLT
Kapilvastu,OTR
Taplejung,DLT
Sunsari,DLT
Sunsari,AVS
Parasi,BMN
Rukum,DLT
Lamjung,DLT
Kailali,AVS
Kailali,BMN
Kailali,DLT
Kailali,BMN
Kailali,DLT
Kavrepalanchok,BMN
Solukhumbu,TBT
Rupandehi,MDS
Rupandehi,DLT
Rupandehi,CHT
Rupandehi,CHT
Baglung,DLT
Kailali,BMN
Taplejung,AVS
Mahottari,MDS
Tanahu,REG
Darchula,AVS
Parasi,OTR
